subject;group;panas_1;panas_2;panas_3;panas_4;panas_5;panas_6;panas_7;panas_8;panas_9;panas_10;panas_11;panas_12;panas_13;panas_14;panas_15;panas_16;panas_17;panas_18;panas_19;panas_20;expl_1;expl_2;expl_3;expl_4;expl_5;expl_6;expl_7;expl_8;expl_9;expl_10;expl_11;expl_12;expl_13;expl_14;expl_15;expl_16;wsc_1;wsc_2;wsc_3;wsc_4;wsc_5;wsc_6;wsc_7;wsc_8;wsc_9;wsc_10;wsc_11;wsc_12;wsc_13;wsc_14;wsc_15;wsc_16;wsc_17;wsc_18;wsc_19;wsc_20;wsc_21;wsc_22;wsc_23;wsc_24;wsc_25;wsc_26;wsc_27;wsc_28;wsc_29;wsc_30;mc_a;mc_b;mc_c;mc_d;mc_e;mc_f;sex;bildung;migration;religion;uv_jew;uv_hol;mc_a_correct;mc_b_correct;mc_d_correct;mc_e_correct;mc_c_correct;mc_f_correct;mc_krit;expl_9r;expl_10r;expl_12r;expl_14r;expl_15r;self_interest;expl_like;panas_pa;panas_na;wsc_1_hol;wsc_2_hol;wsc_3_hol;wsc_4_hol;wsc_5_hol;wsc_6_hol;wsc_7_hol;wsc_8_hol;wsc_9_hol;wsc_10_hol;wsc_hol_sum;age_groups
25;1;3;3;1;1;1;1;1;1;2;3;2;1;2;2;1;2;1;2;2;2;2;3;5;4;2;1;4;4;5;3;3;4;6;6;1;5;Depot;Endlichkeit;Ermäßigung;Gaskammer;Genorientierung;Hollstein;Konzentration;Krematorium;Vergangenheit;Vernunft;Aktenkoffer;Altenheim;Bewegung;ohner;Empfinden;Erfahrung;Fortbildung;Funkgerät;Gymnasium;Hinterhof;meter;Kreide;Liebling;Monolog;Nagelschere;Person;Regenschirm;Rücken;Steigerung;Zusammenhang;4;3;2;4;2;2;1;3;0;2;1;1;1;1;1;1;1;1;1;3;5;4;2;7;2,83333333333333;4,3;1,7;1,7;0;0;0;1;0;0;0;1;0;0;2;2
27;3;3;3;1;1;3;1;2;1;2;4;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;4;3;1;1;5;2;4;1;1;4;t;ichkeit;äßigung;ammer;gramm;z;entration;pel;ngenheit;einen;X;r;gung;anderer;ehlung;hrung;bildung;gerät;asium;ertür;gramm;de;e;tonie;tier;on;nwurm;gabe;n;sammenarbeit;4;3;2;4;2;3;1;3;0;1;1;0;1;1;1;1;1;1;1;7;7;6;7;7;1,5;5,4;2,1;1;0;0;0;1;0;0;0;0;0;0;1;1
28;4;3;4;4;3;3;3;4;4;4;4;1;1;1;2;1;1;1;2;1;1;6;3;4;3;2;2;4;5;3;2;6;3;4;2;1;5;Depot;Endlichkeit;Ermäßigung;Gaskammer;Genom;Holz;Konzern;Krempel;Vergangenheit;Verneinung;Aktenzeichen;Alter;Bewegung;Einwanderer;Empfängnis;Erfahrung;Fortschritt;Funkloch;Gymnasium;Hintertür;Kilogramm;Kreide;Liebhaber;Monolog;Nagel;Person;Regen;Rückgabe;Stein;Zusammenhang;4;3;1;4;2;3;1;3;0;2;0;0;1;1;1;1;1;1;1;5;6;5;6;7;3,33333333333333;5,3;3,6;1,2;0;0;0;1;0;0;0;0;0;0;1;2
29;1;4;3;3;4;3;4;2;5;4;4;3;2;1;1;2;2;1;1;2;2;4;5;6;3;2;2;3;4;4;4;5;3;5;3;2;5;Depotion;Endlich;Ermäßigung;Gaskolben;Genormt;Holbaum;Konzentration;Krempel;Vergangenheit;Vernunft;Aktenzeichen;Alternativ;Bewegung;Einwanderer;Empfängnis;Erfahrung;Fortführen;Funksprecher;Gymnasium;Hintertür;Kilogramm;Kreisel;Liebwürdig;Momotonie;Nagetier;Personen;Regenschirm;Rücksicht;Steigung;Zusammenfassung;4;3;2;4;2;2;1;3;0;1;1;1;1;1;1;1;1;1;1;4;4;5;5;6;3,66666666666667;4,6;3,6;1,7;0;0;0;0;0;0;0;0;0;0;0;2
30;2;3;4;1;2;3;1;3;4;4;4;1;1;1;1;1;1;1;2;2;1;3;3;4;1;1;2;6;6;4;2;6;2;4;2;2;5;Deportieren;Endlichkeit;Ermahnen;0;Genotyp;Holokaust;Konzentriert;Kremmel;Vergangenheit;Vernarbung;Aktentuieren;Altenpflege;Beweglich;Einwandt;Empfindungen;Erfahrung;Fortschreiten;Funktionen;Gymnastik;Hinterkopf;Kilometer;Kreisend;Liebling;Monoton;Nagelstudio;Peronen;Regenschirm;Rücksichtsvoll;Steinigen;Zusammenhang;4;3;1;4;2;2;1;3;0;1;0;1;1;1;1;1;1;1;1;4;6;6;6;6;2,33333333333333;5,5;2,9;1,2;1;0;0;0;0;1;0;0;0;0;2;3
31;3;3;4;3;4;3;4;3;3;4;4;1;1;1;1;1;1;1;2;2;1;2;2;2;3;2;3;6;6;2;2;5;2;5;2;2;6;Deposit;Endlösung;Ermüdung;Gaskammer;Genogramm;Holocaust;Konzert;Krempel;Vergangenheit;Vernunft;Aktenzeichen;Altertum;Bewegung;Einwanderer;Empfindung;Erfahrung;Fortgehen;Funktion;Gymnastik;Hinterhof;Kilogramm;Kreide;Liebling;Monogamie;Nagetier;Person;Regenbogen;Rückenwind;Steine;Zusammenhang;4;3;2;4;2;3;1;3;1;0;1;0;1;1;1;1;1;1;1;6;6;6;6;6;2,33333333333333;5,8;3,5;1,2;0;0;0;1;0;1;0;0;0;0;2;3
32;4;3;4;2;2;3;2;3;3;1;4;1;1;1;1;1;1;2;3;2;2;7;3;1;1;1;2;5;4;2;4;6;2;7;1;1;6;Deponieren;Endlichkeit;Ermittlung;Gaskappe;Genoßen;Holen;Konzept;Krempel;Vergangenheit;Vernunft;Aktenzeichen;Altenheim;Bewegung;Einwanderer;Empfang;Erfahrung;Fortsetzung;Funkstation;Gymnaium;Hintern;Kilogramm;Kreide;Liebhaber;Monogram;Nagetier;Person;Regenbogen;Rücksicht;Steigung;Zusammenhalt;4;3;1;4;3;3;1;3;0;2;0;0;1;1;1;0;1;1;1;6;4;6;7;7;2,5;5,8;2,7;1,5;0;0;0;0;0;0;0;0;0;0;0;1
33;1;3;2;1;2;3;1;2;4;3;4;1;1;1;1;1;2;1;1;2;1;5;4;4;3;3;2;4;5;3;4;4;3;5;3;2;6;Deposit;Endlos;Ermessen;Gaskammer;Genozid;Holprig;Konzert;Krempel;Vergangenheit;Vernichtung;Akentzeichen;Altenpfleger;Bewegung;Einwanderung;Empfindung;Erfahrung;Fortbildung;Funkloch;Gymnasium;Hinterrücks;Kilometer;Kreisel;Liebe;Monopoli;Nagel;Person;Regenschirm;Rückstand;Stein;Zusammen;4;3;2;4;2;2;1;3;1;0;1;1;1;1;1;1;1;1;1;5;4;5;5;6;3,5;4,9;2,5;1,2;0;0;0;1;1;0;0;0;0;1;3;3
36;4;3;4;4;2;4;1;3;4;3;4;1;1;2;1;1;1;1;3;3;2;2;4;4;2;1;1;4;4;3;2;4;3;4;3;2;5;Depot;Endlosigkeit;Ermahnung;Gaskammer;Genotyp;Holz;Konzentration;Krematorium;Vergangenheit;Vernunft;Akteneinsicht;Altertum;Bewegung;Einwanderung;Empfang;Erfahrung;Fortschritt;Funktion;Gymnasium;Hinterhalt;Kilogramm;Kreissäge;Liebhaber;Monotonie;Nagetier;Person;Regen;Rücksicht;Stein;Zusammenfassung;4;3;1;4;2;3;1;3;1;3;0;0;1;1;1;1;1;1;1;5;6;5;5;6;2,33333333333333;4,8;3,2;1,6;0;0;0;1;0;0;0;1;0;0;2;3
37;1;1;2;3;3;2;2;2;3;3;4;1;1;2;1;2;1;3;2;3;2;6;3;2;1;1;1;5;5;4;3;6;4;6;2;1;4;Depot;Endlosigkeit;Ermächtigung;Gaskammer;Genotyp;Holz;Konzil;Krempel;Vergangenheit;Vernunft;Aktenschrank;Altenheim;Bewerber;Einwanderer;Empfänger;Erfahrung;Fortpflanzung;Funkspruch;Gymnasium;Hinterteil;Kilogramm;Kreis;Liebkosung;Monogramm;Nagellack;Perversion;Regentropfen;Rückwärtsgang;Steigerung;Zusage;4;3;2;4;2;2;2;3;0;0;1;1;1;1;1;1;1;1;1;4;5;4;6;7;2,33333333333333;5,2;2,5;1,8;0;0;0;1;0;0;0;0;0;0;1;2
41;1;2;3;3;2;2;3;2;2;2;3;1;1;1;1;1;2;1;3;3;1;6;4;6;2;1;1;2;2;2;3;4;2;6;1;1;6;sition;ich;äßigung;artusche;ssenschaft;under;ert;pel;ngenheit;einen;nzeichen;nheim;gung;wohner;angszimmer;hrung;während;haus;asium;tertreppe;gramm;de;esspiel;ton;lstudio;onifiziert;nbogen;fall;nmetz;mmenfassung;4;3;2;4;2;2;2;4;0;1;1;1;1;1;1;1;1;1;1;6;5;6;7;7;3,33333333333333;5,1;2,4;1,5;0;0;0;0;0;0;0;0;0;0;0;3
42;2;2;4;1;1;4;1;1;3;4;5;1;1;1;1;1;1;1;1;1;1;2;2;5;1;2;1;5;5;3;1;6;2;6;2;1;4;Depot;Endlosigkeit;Ermäßigung;Gaskammer;Genozid;Holz;Konzert;Krematorium;Vergangenheit;Vernunft;Aktenzeichen;Altenheim;Bewertung;Einwanderung;Empfang;Erfahrung;Fortsetzung;Funkstille;Gymnasium;Hinterzimmer;Kilometer;Kreis;Liebe;Monogamie;Nagelbett;Person;Regen;Rücksichtslosigkeit;Stein;Zusammenarbeit;4;3;1;4;2;2;2;3;0;1;0;1;1;1;1;1;1;1;1;5;7;6;6;7;2,16666666666667;5,7;2,6;1;0;0;0;1;1;0;0;1;0;0;3;1
43;3;3;2;1;1;1;2;2;3;2;3;3;1;1;1;1;1;1;1;1;1;2;2;2;3;2;3;5;4;1;2;6;3;4;2;2;5;t;Erdling;Ermäßigung;Gaskammer;Genotyp;Holz;Konzentration;Kremmel;Vergangenheit;Verneinen;Aktenzeichen;rsheim;Bewegung;Einwohner;Empfang;Erfahrung;Fortsetzung;Funkmast;Gymnasium;Hinten;Kilogramm;Kreide;Liebe;Monopoly;Nagetier;Person;Regen;Rückwärts;Steinbruch;Zusammenhang;4;3;2;4;4;3;2;3;0;2;1;0;1;1;1;0;1;1;1;7;6;5;6;6;2,33333333333333;5,4;2;1,2;0;0;0;1;0;0;0;0;0;0;1;3
45;1;3;5;2;4;3;1;2;2;4;3;3;1;1;1;1;1;1;1;2;1;2;1;2;2;1;1;1;6;4;5;6;3;7;1;1;7;Deportation;Endlösung;Ermächtigungsgesetz;Gaskammer;Genosse;Holz;Konzert;Krematorium;Vergasen;Vernehmung;Akten;Alter;Bewegen;Einwurf;Empfänger;Erfahrung;Fortsetzung;Funken;Gymnasium;Hintergrund;Kilometer;Kreide;Lieben;Monotonie;Nagel;Person;Regen;Rücken;Stein;Zusagen;4;3;2;4;2;2;2;3;0;2;1;1;1;1;1;1;1;1;1;4;3;5;7;7;1,5;5,3;2,9;1,3;1;0;0;1;0;0;0;1;1;0;4;2
46;4;2;3;1;2;2;1;1;1;3;3;1;1;1;1;1;1;1;2;3;1;2;2;2;2;2;2;6;6;4;3;4;4;5;2;2;6;Deposition;Endlos;Ermüdung;Gaskammer;Genommen;Holster;Konzert;Krempel;Vergangenheit;Vernichten;Akteur;Alter;Bewegung;Einwandern;Empfinden;Erfahrung;Fortlaufend;Funkturm;Gymnasium;Hintergrund;Kilowatt;Kreissparkasse;Liebchen;Monoton;Nagetier;Personalien;Regement;Rückgabe;Steinig;Zusammen;4;3;1;2;3;3;2;3;1;0;0;0;1;1;0;0;1;1;1;4;5;4;6;6;2;5,2;1,9;1,3;0;0;0;1;0;0;0;0;0;1;2;2
