subject;group;panas_1;panas_2;panas_3;panas_4;panas_5;panas_6;panas_7;panas_8;panas_9;panas_10;panas_11;panas_12;panas_13;panas_14;panas_15;panas_16;panas_17;panas_18;panas_19;panas_20;expl_1;expl_2;expl_3;expl_4;expl_5;expl_6;expl_7;expl_8;expl_9;expl_10;expl_11;expl_12;expl_13;expl_14;expl_15;expl_16;wsc_1;wsc_2;wsc_3;wsc_4;wsc_5;wsc_6;wsc_7;wsc_8;wsc_9;wsc_10;wsc_11;wsc_12;wsc_13;wsc_14;wsc_15;wsc_16;wsc_17;wsc_18;wsc_19;wsc_20;wsc_21;wsc_22;wsc_23;wsc_24;wsc_25;wsc_26;wsc_27;wsc_28;wsc_29;wsc_30;mc_a;mc_b;mc_c;mc_d;mc_e;mc_f;sex;bildung;migration;religion;uv_jew;uv_hol;mc_a_correct;mc_b_correct;mc_d_correct;mc_e_correct;mc_c_correct;mc_f_correct;mc_krit;expl_9r;expl_10r;expl_12r;expl_14r;expl_15r;self_interest;expl_like;panas_pa;panas_na;wsc_1_hol;wsc_2_hol;wsc_3_hol;wsc_4_hol;wsc_5_hol;wsc_6_hol;wsc_7_hol;wsc_8_hol;wsc_9_hol;wsc_10_hol;wsc_hol_sum;age_groups
100;4;4;4;3;4;3;1;3;3;3;4;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;4;5;1;1;5;1;5;1;1;5;Deportation;Endlosigkeit;Ermäßigung;Gaskammer;Genozid;Holz;Konzert;Krempel;Vergangenheit;Vernachlässigung;Aktenzeichen;Alterung;Bewegung;Einwanderung;Empfindung;Erfahrung;Fortschritt;Funkstille;Gymnastik;Hintertür;Kilogramm;Kreis;Liebe;Monopol;Nagetier;Personen;Regen;Rücksicht;Steigung;Zusammenhalt;4;3;1;4;2;3;1;3;0;1;0;0;1;1;1;1;1;1;1;7;7;7;7;7;1,16666666666667;5,9;3,2;1;1;0;0;1;1;0;0;0;0;0;3;2
101;1;3;4;3;2;2;1;1;4;4;4;1;1;1;1;1;1;1;1;1;1;6;2;4;4;4;4;4;5;4;4;4;4;4;4;4;5;deposit;endlos;ermahnung;gaskörper;genozid;holunder;konzentration;krematorium;vergangenheit;vernissage;aktenberg;altenheim;bewegung;einwohner;empfang;erfahrung;fortbestand;funkhaus;gymnasium;hintermann;kilogramm;kreisel;liebhaber;monopoly;nagetier;person;regel;rückmeldung;stein;zusage;3;3;2;4;2;2;2;3;1;0;1;1;0;1;1;1;1;1;1;4;4;4;4;4;4;4,2;2,8;1;0;0;0;0;0;0;0;1;0;0;1;3
102;2;3;4;3;2;2;1;3;2;4;5;2;1;2;1;1;1;2;2;3;2;3;2;1;2;2;3;5;6;3;1;5;2;6;2;1;6;Deportation;Endlich;Ermittlung;Gaskammer;Genommen;Hologram;Konzern;Krempel;Vergangenheit;Vernunft;Akten;Alternative;Bewegung;Einwurf;Empfindung;Erfahrung;Fortpflanzung;Funkspruch;Gymnastik;Hinterhalt;Kilogramm;Kreide;Liebhaber;Monobraue;Nagetier;Personalausweis;Regen;Rückrad;Stein;Zusagen;4;3;1;4;2;2;1;3;0;1;0;1;1;1;1;1;1;1;1;5;7;6;6;7;2,16666666666667;5,9;2,9;1,7;1;0;0;1;0;0;0;0;0;0;2;1
104;4;1;3;2;3;2;2;2;4;3;5;3;1;1;1;1;1;1;1;1;1;6;4;3;3;4;4;3;2;5;5;5;4;5;3;1;6;Depot;Endlich;Ermässigung;Gaskammer;Genotyp;Holzbein;Konzentration;Kreml;Vergangenheit;Vernunft;Aktenkoffer;Alter;Bewegung;Einwanderer;Empfang;Erfahrung;Fortschritt;Funkhaus;Gymnasium;Hintern;Kilogramm;Kreide;Liebe;Monopol;Nagetier;Person;Regenschirm;Rückenmark;Steil;Zusage;4;3;1;2;2;3;2;4;0;2;0;0;1;1;0;1;1;1;1;3;3;4;5;7;4;4,3;2,7;1,2;0;0;0;1;0;0;0;0;0;0;1;2
105;1;1;2;2;2;2;2;1;3;1;2;1;1;1;1;1;3;1;1;2;1;2;2;3;2;2;1;4;3;2;1;4;3;5;2;1;6;Depot;Endlichkeit;Ermahnung;Gaskammer;Genozid;Holstein;Konzern;Krempel;Vergasung;Vernichtung;Akte;Altersheim;Bewegung;Einwanderung;Empfindung;Erfahrung;Fortsetzung;Funktionär;Gymnasiast;Hinterwäldler;Kilogramm;Kreis;Liebe;Monopol;Nagetier;Person;Regel;Rückenmark;Steigung;Zusatz;4;3;2;4;2;2;2;3;0;1;1;1;1;1;1;1;1;1;1;6;7;5;6;7;2;5,3;1,8;1,3;0;0;0;1;1;0;0;0;1;1;4;3
106;2;3;4;2;1;3;1;2;3;3;4;1;1;1;1;1;1;1;2;1;1;2;2;5;1;2;2;3;5;5;2;5;2;6;2;2;6;Depot;Endlager;Ermittlung;Gaskammer;Genozid;Holz;Konzentration;Krempel;Vergangenheit;Vernunft;Aktenzeichen;Altersheim;Bewegung;Einwanderung;Empfang;Erfahrung;Fortsetzung;Funkstation;Gymnastik;Hintergrund;Kilogramm;Kreißsaal;Liebeskummer;Monolog;Nagel;Person;Regent;Rücken;Stein;Zusammenhalt;4;3;1;4;2;2;2;3;0;1;0;1;1;1;1;1;1;1;1;3;6;6;6;6;2,33333333333333;5,2;2,6;1,1;0;0;0;1;1;0;0;0;0;0;2;3
107;3;1;2;2;3;3;2;2;4;4;4;1;1;1;1;2;2;1;1;1;1;6;6;5;3;6;5;2;2;6;7;4;6;3;5;2;4;Deportation;Endlich;Ermäßigt;Gaskammer;Genozid;Holocaust;Konzentriert;Krematorium;Vergangenheit;Vernichtung;Akteneinsicht;Altersarmut;Beweggründe;Einwohner;Empfängnis;Erfahrung;Fortsetzung;Funkstille;Gymnasium;Hinterhalt;Kilowatt;Kreisrund;Liebe;Monotonie;Nagel;Persönlichkeit;Regelrecht;Rücksicht;Steigung;Zusammengehörigkeit;4;3;2;4;4;3;2;3;1;1;1;0;1;1;1;0;1;1;1;2;1;2;3;6;5,16666666666667;2,9;2,7;1,2;1;0;0;1;1;1;0;1;0;1;6;3
108;4;2;3;1;2;3;3;1;2;2;3;3;1;1;1;1;2;2;2;4;2;4;4;3;2;2;2;5;6;3;3;5;2;4;2;2;4;Deponieren;Endlich;Ermutigung;Gaskammer;Genossen;Holprig;Konzentration;Krempell;Vergasen;Vernunft;Akten;Alter;Bewerbung;Einwand;Empfang;Erfahrung;Fortfahren;Funktion;Gymnasium;Hinterhof;Kilogramm;Kreis;Liebe;Monoton;Nagel;Person;Regel;Rücksichtslos;Stein;Zusammen;4;3;1;4;2;3;1;2;0;0;0;0;1;1;1;1;1;1;1;5;5;6;6;6;2,83333333333333;5,2;2,2;1,9;0;0;0;1;0;0;0;0;1;0;2;3
109;1;3;2;1;1;2;1;1;3;3;4;2;1;1;1;2;1;1;1;1;1;4;3;2;2;1;1;5;5;2;1;6;3;5;1;1;6;Depot;Endlichkeit;Ermahnung;Gaskammer;Genomen;Holschuld;Konzentration;Kreme;Vergangenheit;Vernunft;Akten;Altersdurchschnitt;Bewegung;Einwanderung;Empfang;Erfassung;Fortpflanzung;Funkloch;Gymnasium;Hinterhof;Kilogramm;Kreisel;Liebe;Monotonie;Nagetier;Person;Regen;Rücken;Steigerung;Zusage;4;3;2;4;2;2;1;3;1;9;1;1;1;1;1;1;1;1;1;6;7;5;7;7;2,16666666666667;5,9;2,1;1,2;0;0;0;1;0;0;0;0;0;0;1;1
110;2;3;4;1;1;3;1;2;4;3;5;2;1;1;1;1;3;1;2;1;1;2;2;5;1;1;1;3;4;2;3;6;2;6;1;1;6;Depot;Endlos;Ermittlung;Gaskocher;Genotyp;Holen;Konzentration;0;Vergasen;Vernunft;Aktenzeichen;Alter;Bewegung;Einwanderer;Empfänger;Erfahrung;Fortbildung;Funkeln;Gymnasium;Hinterhalt;Kilogramm;Kreide;Liebling;Monopol;Nagelpfeile;Person;Regenbogen;Rückhand;Steif;Zusammen;4;3;1;4;2;2;1;4;0;1;0;1;1;1;1;1;1;1;1;6;5;6;7;7;2;5,6;2,7;1,4;0;0;0;0;0;0;0;0;1;0;1;1
112;4;4;5;5;4;3;3;3;3;5;5;1;1;1;1;1;1;1;1;1;1;6;6;6;7;5;6;1;1;7;7;3;4;3;7;6;2;Depot;Endlos;Ermahnung;Gaskammer;Genozid;Holz;Konzentration;Kremmel;Vergangenheit;Vernunft;Aktenzeichen;Altenheim;Bewegung;Einwanderer;Empfindung;Erfahrung;Fortsetzung;Funkuhr;Gymnasium;Hinterrad;Kilogramm;Kreide;Liebevoll;Monogamie;Nagel;Personalausweis;Regen;Rücken;Stein;Zusammenhalt;4;3;1;4;2;3;2;3;0;1;0;0;1;1;1;1;1;1;1;1;1;4;1;2;6;1,9;4;1;0;0;0;1;1;0;0;0;0;0;2;3
115;3;3;4;3;4;1;3;3;4;5;4;1;1;1;2;1;2;1;2;2;1;5;6;4;6;4;4;3;3;3;2;2;6;3;3;3;6;Deportation;Endlichkeit;Ermüdung;Gaskammer;Genotyp;Holocaust;konzert;Krempeln;vergaser;Vernunft;Aktenzeichen;Alter;bewegung;Einwohner;Empfangen;Erfahrung;Fortschritt;Funktion;Gymnasium;Hinterlassen;Kilometer;Kreide;Liebhaber;monomorphismus;nagellack;Personifikation;Regenschauer;Rücksichtslos;Steigerung;Zusammensetzung;4;3;2;2;2;3;2;4;1;0;1;0;1;1;0;1;1;1;1;5;6;2;5;5;4,83333333333333;4;3,4;1,4;1;0;0;1;0;1;0;0;0;0;3;1
117;1;1;3;1;3;2;4;2;1;2;3;4;4;1;1;1;2;1;2;3;1;1;3;4;5;1;6;1;1;7;5;2;6;1;5;4;3;Depot;Endlösung;Ermäßigung;Gaskocher;Genosse;Holz;Konzentration;Krempel;Vergangenheit;Vernunft;Akten;Altersheim;Bewegung;Einwohner;Empfindung;Erfahrung;Fortbildung;Funkstille;Gymnasium;Hinterlassenschaft;Kilogramm;Kreide;Liebe;Monolog;Nagel;Person;Regelung;Rückzug;Stein;Zusage;4;3;2;4;2;2;2;3;0;0;1;1;1;1;1;1;1;1;1;1;3;2;3;4;3,33333333333333;2,1;2,2;2;0;0;0;0;0;0;0;0;0;0;0;2
119;3;4;4;3;2;2;4;4;3;4;3;3;1;1;1;1;1;1;1;1;1;4;5;5;3;2;3;4;3;3;3;5;3;3;3;3;5;Depot;Endlich;Ermäßigung;-;Genossenschaft;Holunder;Konzentration;Kreme;Vergangenheit;Vernunft;Aktenordner;Alter;Bewegung;Einwanderung;Empfang;Erfahrung;Fortlauf;Funkmast;Gymnastik;Hinterland;Kilogramm;Kreis;Liebhaber;Monopol;Nagetier;Person;Regen;Rücken;Stein;Zusammenhalt;4;3;2;4;2;3;1;3;0;1;1;0;1;1;1;1;1;1;1;5;5;5;5;5;3,66666666666667;4,5;3,3;1,2;0;0;0;0;0;0;0;0;0;0;0;2
