"effect_size_id","cat","outcome","exposure","k","pooled_r","cilb95","ciub95","n_pooled","i2","Value","Statistical.Test"
"35660_003","health behaviour","Healthy behavior: General","Intervention: Health behaviours",33,0.114,0.053,0.175,9525,88.2,0.118,"Cohen's d"
"48113_013","health behaviour","Physical activity: General","Intervention: Lifestyle risk behaviour (at school)",12,0.083,0.015,0.151,10408,90.9,0.14,"Standard mean difference"
"48113_014","health behaviour","Physical activity: General","Intervention: Lifestyle risk behaviour (at school)",8,0.131,0.035,0.227,5538,91.6,0.23,"Standard mean difference"
"48113_019","health behaviour","Physical activity: General","Intervention: Lifestyle risk behaviour (at school)",4,0.031,-0.035,0.097,3435,73.9,0.07,"Standard mean difference"
"60366_001","health behaviour","Physical activity: General","Intervention: To increase physical activity (via mobile phone)",9,0.149,0.013,0.285,1101,70.2,-999,"Cohen's d"
"59900_004","health behaviour","Physical activity: General","Video games: General",3,-0.012,-0.088,0.064,6534,88.6,-999,"-999"
"59588_013","health behaviour","Physical activity: Moderate-to-vigorous intensity","Intervention: To promote health",7,-0.032,-0.162,0.099,1257,81.4,-0.55,"Mean difference"
"59588_014","health behaviour","Physical activity: Moderate-to-vigorous intensity","Intervention: To promote health",3,0.066,0.01,0.123,1210,0.1,3.92,"Mean difference"
"60366_002","health behaviour","Physical activity: Sedentary time","Intervention: To decrease sedentary behavior (via mobile phone)",9,0.089,-0.014,0.191,1113,43.6,-999,"Cohen's d"
"48113_017","health behaviour","Risky behavior: Alcohol consumption","Intervention: Lifestyle risk behaviour (at school)",4,0.518,0.4,0.636,4085,96.3,1.13,"Odds ratio"
"48113_016","health behaviour","Risky behavior: Smoking","Intervention: Lifestyle risk behaviour (at school)",6,0.611,0.454,0.767,5775,99.2,1.23,"Odds ratio"
"47429_002","health behaviour","Risky behavior: Substance abuse","Social Media: General",14,0.188,0.135,0.241,36228,96.1,0.19,"Weighted mean correlation coefficient"
"59588_010","health behaviour","Screen time: Computer & gaming","Intervention: To promote health",4,-0.038,-0.082,0.007,1946,0,-5.9,"Mean difference"
"48113_008","health behaviour","Screen time: General","Intervention: Lifestyle risk behaviour (at school)",3,-0.046,-0.083,-0.009,5045,37.4,-0.09,"Standard mean difference"
"59588_009","health behaviour","Screen time: General","Intervention: To promote health",8,-0.166,-0.394,0.062,1894,97.5,-17.32,"Mean difference"
"47484_004","health behaviour","Screen time: General","Intervention: To promote health (via mobile phone)",6,-0.111,-0.201,-0.022,1148,46.1,-0.198,"Standarised mean difference"
"59588_011","health behaviour","Screen time: TV/DVD","Intervention: To promote health",4,-0.041,-0.085,0.004,1946,0,-7.42,"Mean difference"
"6524_015","health behaviour","Sleep: Bedtime","Computer use: General",2,0.132,0.017,0.248,5063,94,0.148,"r"
"6524_016","health behaviour","Sleep: Bedtime","Internet use: General",4,0.201,0.108,0.294,3867,86.1,0.212,"r"
"6524_014","health behaviour","Sleep: Bedtime","Screen use: General (mobile phone)",3,0.131,0.105,0.157,5590,0,0.131,"r"
"6524_011","health behaviour","Sleep: Bedtime","TV programs and movies: General",8,0.059,-0.002,0.12,11712,90,0.041,"r"
"6524_013","health behaviour","Sleep: Bedtime","Video games: General",6,0.107,0.053,0.16,5916,67,0.12,"r"
"61303_002","health behaviour","Sleep: Disorders","Screen use: General (mobile phone addiction)",5,0.304,0.255,0.353,6807,79.8,-999,"-999"
"6524_001","health behaviour","Sleep: Duration","Computer use: General",4,-0.165,-0.197,-0.133,7611,39.2,-0.157,"r"
"6524_003","health behaviour","Sleep: Duration","Internet use: General",5,-0.123,-0.206,-0.039,11850,92.2,-0.087,"r"
