"effect_size_id","k","r","cilb","ciub","p","i2","n","sig999"
"52772_001",7,-0.139428143091081,-0.262016031350766,-0.0168402548313962,0.025799939558376,62.1382622709729,898,FALSE
"52772_002",4,0.212239287414663,-0.00904309727733754,0.433521672106663,0.0601262638096153,90.2013664042177,892,FALSE
"52795_001",4,-0.0970469638935897,-0.184917128383562,-0.00917679940361779,0.0304141478104243,0,488,FALSE
"52795_002",6,-0.0315950230354083,-0.112110334617368,0.0489202885465516,0.441828189531725,0,597,FALSE
"52795_003",3,-0.301692782740641,-0.463574729310374,-0.139810836170909,0.000259492329173459,44.0345693847523,408,TRUE
"52795_004",3,-0.191130262386917,-0.54973232880978,0.167471804035947,0.296191489338419,90.1438531675091,443,FALSE
"52795_005",3,-0.0555648026444627,-0.31669135212371,0.205561746834784,0.676635716977279,75.1599880709841,408,FALSE
"52818_001",4,-0.0534552573288275,-0.151664230807196,0.0447537161495409,0.286057346964298,80.618403818948,2280,FALSE
"52818_002",3,0.287065115473061,0.208639228012737,0.365491002933385,7.27699617940136e-13,69.0856296205445,1964,TRUE
"52906_001",4,0.227979309581217,0.046239593624257,0.409719025538178,0.0139467164855663,88.6900816651204,980,FALSE
"52906_002",1,0.0149983127847122,-0.155556280524954,0.185552906094379,0.863157452099364,0,133,FALSE
"53014_001",16,0.188640794942952,0.0760121086651401,0.301269481220763,0.00102808386772048,72.6910293486399,967,FALSE
"53014_002",3,0.407575714765323,0.0983820581362951,0.716769371394351,0.0097774209735511,80.4725647790849,131,FALSE
"53014_003",7,0.0722941948107834,-0.0181903396412224,0.162778729262789,0.117360940439686,0,467,FALSE
"53014_004",6,0.206174062088759,0.0117427404475862,0.400605383729932,0.0376783656405421,76.4121401396692,369,FALSE
"53014_005",9,0.285968430207079,0.11157043645874,0.460366423955418,0.00130971127679183,76.4059209596762,390,FALSE
"53014_006",7,0.0730564931361931,-0.00843317044103969,0.154546156713426,0.0788953127961504,0,577,FALSE
"53014_007",7,0.151224115670169,0.0601955655970271,0.24225266574331,0.00112972500474933,0.00742319209625026,439,FALSE
"53014_008",9,0.20513992404647,0.0221591538881966,0.388120694204744,0.0279977730333315,82.5141928377212,528,FALSE
"53145_001",36,0.198010908683781,0.14513727084955,0.250884546518012,2.13541105099856e-13,54.9025479123193,2975,TRUE
"53160_001",12,0.121823722265635,0.053604758669243,0.190042685862028,0.000465162594974546,97.4716879681344,93740,TRUE
"53940_001",28,0.0565512408353876,0.0378183365596017,0.0752841451111735,3.28313665213539e-09,91.5806247962799,232501,TRUE
"53940_002",3,0.0583508849669659,-0.00458036294205216,0.121282132875984,0.0691695456700076,67.8897082201225,3754,FALSE
"53940_003",24,0.0570655584938264,0.036565517782128,0.0775655992055249,4.87218348800771e-08,93.0033918736809,228377,TRUE
"53940_004",18,0.0587438270136257,0.0329665215244718,0.0845211325027796,7.94887645497384e-06,95.4110637424047,220282,TRUE
"53940_005",10,0.0534901729219627,0.0284958471349045,0.0784844987090209,2.73468700471816e-05,46.3808540999557,12219,TRUE
"53940_006",18,0.0591598134023499,0.0357650401734136,0.0825545866312863,7.18547445305648e-07,92.8588362301724,191975,TRUE
"53940_007",6,0.0464724525725874,-0.0072827259148231,0.100227631059998,0.0901837927775741,82.9276375611715,34997,FALSE
"53940_008",4,0.0614921741108059,0.0201308632919488,0.102853484929663,0.00356951883474579,49.5795213718427,5529,FALSE
"54015_001",27,0.213745380720681,0.165641799675025,0.261848961766337,3.06614461270324e-18,89.266803525205,15443,TRUE
"54366_001",4,0.071547512521583,-0.0942951136199151,0.237390138663081,0.397796037800377,85.5865627848834,1275,FALSE
"55544_001",13,0.256113885731849,0.103118422962757,0.409109348500941,0.00103449623869318,83.084008754027,982,FALSE
"55554_001",15,0.0889128242944612,0.0599597027259425,0.11786594586298,1.756066838087e-09,89.562662471614,52377,TRUE
"55554_004",12,0.0910398101574588,0.0577221075106495,0.124357512804268,8.52947611736478e-08,90.8831097426628,44550,TRUE
"55554_005",3,0.0800604377410888,0.0140859338160777,0.1460349416661,0.0173866555009775,75.5518218722153,7827,FALSE
"55560_001",14,0.393930931293232,0.208323363084681,0.579538499501784,3.18525823713232e-05,92.480336832163,676,TRUE
"55560_002",11,0.329326367065816,0.107975783942678,0.550676950188953,0.00354501638675901,92.0745367033189,519,FALSE
"55560_003",3,0.621514346822319,0.407489837989663,0.835538855654975,1.25841181226822e-08,81.3683891463584,157,TRUE
"55560_006",3,0.215214392314285,-0.358597990608319,0.78902677523689,0.462275436822278,94.6522899402735,147,FALSE
"55560_007",12,0.423657802947746,0.246422514105368,0.600893091790125,2.7990820920106e-06,89.277290573065,569,TRUE
"55569_001",11,0.0928502409781442,0.0140913523494761,0.171609129606812,0.0208529655947679,82.2548364905175,4954,FALSE
"55569_002",10,0.160657697704873,0.105455455882696,0.215859939527051,1.16907255061053e-08,67.1920719238902,5124,TRUE
"55569_003",5,0.055281512173276,-0.061688145202215,0.172251169548767,0.354286634784227,74.8638685012697,1745,FALSE
