"effect_size_id","ok","k","pooled_r","cilb95","ciub95","cilb999","ciub999","i2","tau2","n_pooled","review_id","Study.Level.Available.","Value","Value...CI.lower.bound","Value...CI.upper.bound","p.value","Statistical.Test","k..number.of.effects.informing.this.test.","Combined.N","Exposure...Author.Description","exposure","Outcome...Author.Description","cat","Outcome.Level.2","Outcome.Level.3","outcome","Benefit.or.Risk.","Moderator.Level.Recoded","Moderator.Category.Recoded","Use.Moderator","I2.calculated","Value_raw_SE","Value_raw_SD"
"52772_001",TRUE,7,-0.139428143091081,-0.262016031350766,-0.0168402548313962,-0.345237395943396,0.0663811097612347,62.1382622709729,0.0154408547096413,898,52772,TRUE,-0.291,-0.631,0.049,"0","Hedge's g",7,898,"Active Videogames","Video games: Physically active","BMI","physical health","physical health_body composition","physical health_body composition_bmi","Body composition: BMI","Risk","Overall","Overall",TRUE,78.47,NA,NA
"52795_001",TRUE,4,-0.0970469638935897,-0.184917128383562,-0.00917679940361779,-0.244569636471013,0.0504757086838333,0,0,488,52795,TRUE,-0.209,-0.388,-0.031,"0.7","Hedge's g",4,488,"Active Videogames","Video games: Physically active","BMI","physical health","physical health_body composition","physical health_body composition_bmi","Body composition: BMI","Risk","Overall","Overall",TRUE,64.59,NA,NA
"59080_005",TRUE,8,0.000762669753114448,-0.0679762080811909,0.0695015475874198,-0.114641040106186,0.116166379612415,0,0,821,59080,TRUE,-1.4,-2.22,-0.58,"-999","Mean difference",8,821,"Active video games","Video games: Physically active","Body mass index","physical health","physical health_body composition","physical health_body composition_bmi","Body composition: BMI","Risk","Overall","Overall",TRUE,45,NA,NA
"59679_001",TRUE,3,0.000855528418136051,-0.188621168498279,0.190332225334551,-0.317251406768515,0.318962463604787,0,0,110,59679,TRUE,-1.77,-2.55,-0.99,"-999","Unstandardized Mean difference",3,110,"Active video games","Video games: Physically active","BMI Percentile","physical health","physical health_body composition","health behaviour_BMI percentile","Body composition: BMI percentile","Risk","Overall","Overall",TRUE,78,NA,NA
"52906_002",TRUE,1,0.0149983127847122,-0.155556280524954,0.185552906094379,-0.271340851042265,0.301337476611689,0,0,133,52906,TRUE,-999,-999,-999,"-999","standardized mean difference",1,133,"Nutrition interventions with gamification","Intervention: Nutrition (with gamification)","BMI z-score","physical health","physical health_body composition","physical health_body composition_bmi z score","Body composition: BMI z-score","Risk","Overall","Overall",TRUE,-999,NA,NA
"59588_004",TRUE,11,-0.0388451975756538,-0.198928782511177,0.12123838735987,-0.307604888905906,0.229914493754598,95.9784579497588,0.0693372153604022,3339,59588,TRUE,-0.02,-0.06,0.03,"0.47","Mean difference",11,3306,"Digital-based Intervention","Intervention: To promote health","Body mass index z-score","physical health","physical health_body composition","physical health_body composition_bmi z score","Body composition: BMI z-score","Risk","RCTs","Study Design",TRUE,95,NA,NA
"59588_005",TRUE,3,-0.0775908376554705,-0.156570019461009,0.00138834415006833,-0.210186697075547,0.0550050217646056,45.2688331606073,0.00215424442527941,1398,59588,TRUE,-0.1,-0.15,-0.04,"0.0004","Mean difference",3,1398,"Digital-based Intervention","Intervention: To promote health","Body mass index z-score","physical health","physical health_body composition","physical health_body composition_bmi z score","Body composition: BMI z-score","Risk","Quasi-experimental","Study Design",TRUE,0,NA,NA
"59588_007",TRUE,4,-0.0403766322966952,-0.101452668429414,0.0206994038360233,-0.142915419301722,0.0621621547083316,23.7214815590157,0.000949901544114454,1567,59588,TRUE,-0.24,-0.57,0.08,"-999","Mean difference",4,1567,"Digital-based Intervention","Intervention: To promote health","Body mass index z-score","physical health","physical health_body composition","physical health_body composition_bmi z score","Body composition: BMI z-score","Risk","Quasi-experimental","Study Design",TRUE,9,NA,NA
"54703_003",TRUE,1,0.000370370344967741,-0.132680636242354,0.133421376932289,-0.223005108633656,0.223745849323592,0,0,218,54703,TRUE,-999,-999,-999,"-999","Weighted mean difference",1,217,"Information and communication technology for weight loss and weight management","Intervention: To promote healthy weight","BMI z-score","physical health","physical health_body composition","physical health_body composition_bmi z score","Body composition: BMI z-score","Risk","Overall","Overall",TRUE,-999,NA,NA
"54366_001",TRUE,4,0.071547512521583,-0.0942951136199151,0.237390138663081,-0.206880866185325,0.349975891228491,85.5865627848834,0.0239317493094247,1275,54366,TRUE,0.07,-0.08,0.22,"-999","Fisher's z",4,1275,"screen time guideline adherence","Screen use: General (meeting guidelines)","BMI z-score","physical health","physical health_body composition","physical health_body composition_bmi z score","Body composition: BMI z-score","Risk","Overall","Overall",TRUE,81,NA,NA
