subject;condition;instruct;as1;as2;as3;as4;as5;as6;as7;as8;as9;as10;as11;as12;as13;as14;as15;as16;as17;as18;as19;as20;as21;as22;as23;ni1;ni2;ni3;ni4;ni5;ni6;sh1;sh2;sh3;sh4;sex;religion;party;age_groups
169;1;1;3;5;5;6;6;5;7;4;5;3;5;5;4;4;5;3;6;5;5;3;4;1;7;4;2;7;1;7;2;5;2;1;1;2;3;5;2
170;1;0;4;6;2;4;4;3;3;1;6;1;4;4;3;5;1;1;7;5;4;1;1;1;6;1;1;1;1;2;2;4;4;4;4;1;1; ;1
171;0;0; ; ;2;4; ;3;3; ; ;2; ;2;3;3; ;1; ;4;2;1;3;1;1;1;1;1;1;1;1;1;1;1;1;2;3;2;1
172;1;1;3;6;7;5;3;4;6;4;4;2;5;4;3;4;5;3;6;6;4;2;4;2;6;4;2;3;2;4;2;5;5;4;5;2;1; ;3
173;1;1;2;7;2;4;5;4;5;4;2;2;2;2;4;2;4;2;2;2;3;4;4;1;4;2;1;3;2;2;1;6;4;4;4;2;1;3;2
174;1;0;2;3;2;2;4;3;6;3;5;1;6;5;2;4;3;1;5;5;5;1;5;1;4;3;4;5;1;3;3;2;2;2;1;1;4;1;3
175;0;1;3;5;4;4;2;1;2;4;2;2;2;2;4; ;3;3;5;5;1;1;2;4;6;5;1;6;1;5;2;6;5;4;4;2;1; ;1
176;0;1;1;5;1;4;4;3;4;2;7;3;5;4;3;1;1;2;7;3;6;1;5;1;6;6;4;6;1;2; ;7;2;3;2;2;3;3;1
177;1;1;1;1;1;7;1;2;2;1;7;7;7;6;1;1;1;7;7;3;7;6;7;7;6;4;3;3;4;4;1;1;4;1;3;1;2; ;1
178;0;1;4;5;3;4;3;3;5;4;3;2;4;3;3;3;4; ;4; ; ; ;3;1;5;5;2;4;2;2;4;4;4;5;5;2;1;5;2
179;1;0;3;6;5;1;3;1;3;5;7;2;5;1;6;2;6;4;6;3;6;1;3;6;1;7;6;7;5;2;1;3;2;2;4;2;1;1;1
180;0;0;3;5;3;6;3;5;5; ;6;5; ;4;5; ;5;4;7;6;5;2;6;3;3;7;4; ;6;7;3;4;4;2;2;2;3; ;1
181;0;1;5;5;2;4;5;3;3;4;6;2;5;3;6;5;5;2;3;6;5;1;4;1;6;4;2;4;1;4;4;2;4;2;2;2;1;1;1
182;0;1;3;2;1;6;6;6;7;2;7;4;5;3;4;3;2;5;4;4;6;4;6;6;6;4;1;1;1;3;1;7;3;4;4;2;3;4;1
183;1;1;6;7;6;4;1;2;4;5;1;1;1;1;2;3; ;1;1;3;1;1; ;1;1;5;6;7; ;6;6;4;6;3; ;2;1; ;1
184;1;0;2;7;5;3;4;4;6;4;2;4;3;3;2; ;4;4;6;6;3;4;3;4;4;6;3;7;6;7;4;7;7;6;5;2;3; ;3
185;0;1;5;7;4;5;5;3;5;4;4;3;2;3;5;6;5;4;4;4;5;3;3;4;5;7;3;5;2;5;4;6;5;4;4;1;3; ;2
186;1;1;3;6;1;4;3;2;4;5;3;1;2;2;2;2;1;1;5;6;1;1;4;1;5;1;1;1;1;1;1;6;2;1;1;2;1;3;2
187;0;0;1;5;1;5;1;4;6;5;1;1;1;1;4;2;2;2;4;4;2;1;1;1;1;2;1;3;1;1;1;1;1;1;1;1;1;3;3
188;0;1;2;6;2;4;3;4;5;4;2;1; ;4;5;2;2;2;6;5;1; ; ;2; ;4;2;5;2;4;2;6;4;3;3;2;1;3;3
189;1;1;1;3;1;5;4;5;6;2;4;1;5;5;3;5;2;3;6;5;4;3;4;1;2;4;1;5;1;5;1;7;2;4;5;2;1;1;3
190;1;0; ;5;3;5; ;6; ; ;5;1;4; ;3; ;3;4;7;6;5; ;5;1; ;7;3;5;1;4;1;4;6;5;5;2;1; ;1
191;1;1;1;5;1;3;6;6;7;3;3;3;6;6; ;2;2;6;7;7;5;1;5;1;7;4;1;6;1;4;1;5;4;4;2;2;1; ;3
192;1;0; ;4;2;3;4;4;7;5;3;2;4;3;6;2;1;3;5; ;6;4;6;5;6;5;2;5;2;6;1;4;2;2;2;2;1; ;1
193;0;1;4;6;3;6;4;3;7;4;5;1;5;3;4;6;6;3;4;5;2;2;3;4;4;6;2;7;2;6;1;7;3;6;6;2;1;1;2
194;0;0;2;2;1;4;6;2;7;2;6;1;4;3;1;4;2;1;7;3;1;1;4;3;7;1;1;4;1;2;1;1;1;1;1;1;1;3;2
195;1;1;4;5;3;3;6;4;5;5;5;2;2;3;4;4;3;4;2;2;3;6;4;4;2;3;7;4;1;2;6; ;2;1;1;1;3;4;2
196;1;1;3;3;4;3;4;4; ;4;5;3;5; ;4;5; ;3;4;5;2; ;5; ;4; ;1; ;2;2; ; ; ; ; ;2;3; ;2
197;1;0;1;5;1;6;1;4;7;3;6;1;6;2;3;4;4;1;5;7;1;4;6;4;7;6;1;3;1;4;1;7;6;6;5;1;1;1;2
198;0;0;1;3;1;7;7;7;4;1;7;7;7;7;1;1; ;5;7;4;7;7;7;7;1;4;2;1;7;1; ;7;4;4;4;2;1; ;1
199;1;0;3;4;1;4;6;6;6;3;6;3;6;7;3;4;2;5;6;5;1;1;2;2;1;1;1;7;1;6;4;6;4;5;4;1;4;3;3
200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
