subject;condition;instruct;as1;as2;as3;as4;as5;as6;as7;as8;as9;as10;as11;as12;as13;as14;as15;as16;as17;as18;as19;as20;as21;as22;as23;ni1;ni2;ni3;ni4;ni5;ni6;sh1;sh2;sh3;sh4;sex;religion;party;age_groups
50;0;0;5;6;6;3;4;2;5;4;2;5;3;5;4;4;4;4;4;4;4;4;4;4;4;7;7;7;7;7;7;3;2;2;2;1;3; ;1
51;1;0;4;7;1;6;6;4;6;5;2;2;4;4;6;2;2;4;6;6;4;2;3;2;5;7;4;5;4;4;4;6;6;6;2;2;1;5;3
52;0;1;4;5;1;5;2;1;4;2;1;1;2;3;6;1;2;2;6;5;7;1;6;1;5;2;1;6;7;6;3;4;4;4;4;1;1; ;2
53;1;0;3;4;3;5;4;5;7;3;5;3;6;5;4;3;4;3;6;7;6;3;6;1;4;4;2;5;1;3;2;6;6;5;4;1;1;2;1
54;0;0;7;7;6;1;1;1;7;6;1;1;1;1;6;7;7;1;1;6;1;1;1;1;1;1;1;1;1;2;1;4;1;2;3;1;3;5;2
55;1;1;4;7;5;7;1;1;7;5;1;1; ;1;7;7;7;1;2;6;1;1;1;1;1;4;3;4;1;5;3;7;2;1;5;1;3; ;3
56;0;1;3;5;2;2;4;4;3;2;6;2;7;2;3;5;4;1;5;6;6;2;1;1;5;3;2;3;1;1;3;6;4;5;3;1;1;1;1
57;1;1;1;3;4;7;7;6;5;1;7;1;5;6;2;6;4;7;7;2;5;1;7;1;1;7;3;4;1;1;1;7;5;6;7;1;1;1;1
58;0;0;5;3;3;4;5;3;4;5;3;2;2;2;5;3;3;2;7;7; ;2;3;4;4;5;4;6;4;7;5;2;2;2;2;2;1;5;3
59;0;1;3;6;1;3;4;1;7;3;2;3;1;1;5;4;5;1;3;4;1;4;1;4;4;7;1;7;1;6;1;6;1;1;2;2;1;1;2
60;0;1;3;6;1;6;7;4;4;7;5;6;4;4;4;5;4;1;7;7;5;2;4;1;7;7;4;4;1;4;7;7;7;7;7; ; ; ; 
61;1;0;5;7;7;1;1;1;5;1;1;1;1;1;1;3;4;1;1;4;1;1;2;2;2;5;1;4;3;2;1;7;3;3;2;2;1;5;2
62;0;1;4;5;6;4; ; ;4;4;4;4;4;3;3;4;4;3;5;5;3;3;4;3;4;4;6;6;3;6;3;4;4;3;3;2;1; ;2
63;1;0;5;7;5;3;2;2;6; ;2; ;3;1;4;5;4;1; ;4; ;2;2;1; ;3;4;6;2; ;1; ; ; ; ;2;3; ; 
64;1;1;6;7;7;1;1;2;5;7; ;1;1;1; ;6;5;1;1; ;1;1;1;1; ;1;1;5;1;2;1;1;1;1;1;2;3;5;2
65;1;1;1;4;1;6;4;4;7;2;2;1;3;5;2;4;1;5;7;3;2;4;6;6;6;7;1;4;1;6;1;7;6;6;6;2;1; ;3
66;0;1;5;5;4;3;5;4;6;5;4;3;4;4;3;4;5;2;6;5;6;3;4;2;4;2;1;7;1;3;4;7;5;4;4;2;1; ;1
67;1;1;3;2;5;5;4;4;7;4;2;2;4;3;5;3;5;1;6;6;2;2;4;2;6;6;1;4;1;4;1;7;5;6;5;2;1;3;2
68;1;0;5;7;4;4;6;6;3;7;4;2;7;6;6;5;4;1;7;6;5;3;5;3;4;5;5;5;5;7;5;6;3;4;6;2;1; ;1
69;0;1;5;6;4;4;3;3;1;5;4;2;5;3;6;6;4;4;3;7;3;3;3;1;1;5;6;5;4;5;1;3;5;4;3;2;1;1;1
70;1;1;3;6;2;5;4;4;4;2;6;2;5;5;4;4;6;4;6;5;6;2;5;2;5;5;3;6;5;3;3;5;3;5;4;1;1;1;3
71;1;1;2;4;1;6;4;4;4;2;3;1;3;3;4;4;6;4;7;4;4;1;5;1;1;5;4;6;1;3;2;7;6;5;5;2;1;1;2
