"authors" "study" "N" "yi" "se" "comparison" "decision_type" "pub" "country" "world_region" "ID"
"85" "Monin and Miller (2001)" 3 20 0.91 0.47 1 1 1 "US" "NOA" "Monin (2001) 3"
"86" "Sachdeva et al. (2009)" 1 29 0.6 0.38 1 0 1 "US" "NOA" "Sachdeva (2009) 1"
"87" "Sachdeva et al. (2009)" 2 18 1.1 0.51 0 0 1 "US" "NOA" "Sachdeva (2009) 2"
"88" "Sachdeva et al. (2009)" 3 31 0.57 0.37 1 1 1 "US" "NOA" "Sachdeva (2009) 3"
"89" "Schüler et al. (2012)" 1 62 -0.42 0.26 1 0 0 "DE" "EUR" "Schüler (2012) 1"
"90" "Spektor (2014)" 1 278 0 0.12 0 1 0 "DE" "EUR" "Spektor (2014) 1"
"91" "Susewind and Hoelzl (2014)" 1 84 0.38 0.22 1 1 1 "DE" "EUR" "Susewind (2014) 1"
"92" "Susewind and Hoelzl (2014)" 2 62 0.44 0.26 0 0 1 "DE" "EUR" "Susewind (2014) 2"
"93" "Thomas and Showers (2012)" 1 76 -0.3 0.23 0 0 0 NA NA "Thomas (2012) 1"
"94" "Young et al. (2012)" 1 66 -0.41 0.25 1 1 1 "US" "NOA" "Young (2012) 1"
"95" "Zhong et al. (2010)" 1 68 0.29 0.24 1 0 1 "US" "NOA" "Zhong (2010) 1"
"96" "(Simbrunner and Schlegelmilch 2016a)" 1 52 0.66 0.29 1 0 0 "AT" "EUR" "Simbrunner (2016) 1"
"97" "(Simbrunner and Schlegelmilch 2016a)" 1 57 -0.16 0.27 1 0 0 "AT" "EUR" "Simbrunner (2016) 1"
"98" "(Simbrunner and Schlegelmilch 2016a)" 2 57 0.26 0.27 1 0 0 "AT" "EUR" "Simbrunner (2016) 2"
"99" "(Simbrunner and Schlegelmilch 2016a)" 3 57 0.35 0.27 1 0 0 "AT" "EUR" "Simbrunner (2016) 3"
"100" "(Simbrunner and Schlegelmilch 2016a)" 4 57 0.58 0.27 1 0 0 "AT" "EUR" "Simbrunner (2016) 4"
"101" "(Simbrunner and Schlegelmilch 2016a)" 5 57 0.54 0.27 1 0 0 "AT" "EUR" "Simbrunner (2016) 5"
"102" "(Simbrunner and Schlegelmilch 2016a)" 1 111 -0.26 0.19 1 0 0 "TH" "SEA" "Simbrunner (2016) 1"
"103" "(Simbrunner and Schlegelmilch 2016a)" 2 111 -0.49 0.19 1 0 0 "TH" "SEA" "Simbrunner (2016) 2"
"104" "(Simbrunner and Schlegelmilch 2016a)" 3 111 -0.32 0.19 1 0 0 "TH" "SEA" "Simbrunner (2016) 3"
"105" "(Simbrunner and Schlegelmilch 2016a)" 4 111 -0.38 0.19 1 0 0 "TH" "SEA" "Simbrunner (2016) 4"
"106" "(Simbrunner and Schlegelmilch 2016a)" 5 111 -0.41 0.19 1 0 0 "TH" "SEA" "Simbrunner (2016) 5"
