handle,author_id,name,party,N_tweets,followers_count,following_count,tweet_count,created_at,congress,type,NG_unreliable_share,NG_score_mean,accuracy_mean,transparency_mean,independent_unreliable_share,avg_belief_score,avg_truth_score,avg_belief_score_2010_to_2013,avg_truth_score_2010_to_2013,avg_belief_score_2019_to_2022,avg_truth_score_2019_to_2022,LIWC_analytic_mean,LIWC_authentic_mean,LIWC_moral_mean,VADER_neg_mean,VADER_pos_mean,VADER_neu_mean,VADER_compound_mean,ideology_mean,ideology_std,ideology_count,state,pf_score
Jim_Banks,14836282,Jim Banks,Republican,4777,29217,2656,10086,2008-05-19 18:42:34+00:00,117.0,official,0.01882845188284519,91.59780334728033,3.92326139088729,2.696642685851319,0.07913669064748201,-0.012514418358004159,-0.03057479290177976,-0.03528997012582521,-0.04801968796869321,0.04270114735494618,-0.00786039573372945,78.7396336612937,31.35567510990161,0.3144651454888005,0.04509692275486707,0.13689930918986812,0.8180046054008793,0.21147544483985767,0.8295250726754114,0.06844637894158656,5.0,IN,
CongresswomanSC,1484252226646421505,Congresswoman Sheila Cherfilus-McCormick,Democrat,766,2156,56,536,2022-01-20 19:53:08+00:00,118.0,official,0.0,93.21428571428571,4.428571428571429,3.0,0.0,-0.01196624907557891,0.009359546149906308,,,-0.01196624907557891,0.009359546149906308,81.25759791122715,28.546605744125326,0.9657963446475195,0.052973890339425594,0.16585378590078328,0.7811853785900784,0.33177911227154044,0.1921981037863269,,1.0,FL,
GrahamBlog,14845376,Lindsey Graham,Republican,3535,106130,1895,4226,2008-05-20 13:57:21+00:00,116.0,official,0.06880733944954129,84.76490825688073,3.8682634730538923,2.604790419161677,0.04790419161676647,-0.007072229223727111,-0.0016111925387579725,-0.01888797594896889,-0.010445334586267126,,,83.25914285714286,27.23035360678925,0.3403083451202263,0.08247751060820367,0.08591626591230551,0.831598585572843,0.0032595473833097596,0.7057142217920023,0.042397634699503695,9.0,SC,
MooneyforWV,1491350114,Alex Mooney,Republican,823,3293,169,1107,2013-06-07 21:33:53+00:00,116.0,official,0.023255813953488372,88.61627906976744,3.051282051282051,2.230769230769231,0.28205128205128205,-0.013016057651342693,-0.053302551140603255,0.0049571490426032734,-0.03369771093643165,0.00042886362150194515,-0.054802483489172514,83.4955893074119,26.55849331713244,0.508262454434994,0.031456865127582015,0.21113608748481164,0.7574119076549211,0.4399065613608748,0.8283435229468079,0.0770651922892753,7.0,WV,
chelliepingree,14984637,Congresswoman Chellie Pingree 🇺🇸 🇺🇦,Democrat,6723,32593,1482,8193,2008-06-02 20:29:56+00:00,118.0,official,0.0,97.27958422174841,4.044205495818399,2.948626045400239,0.0047789725209080045,0.010071480429217036,0.015387972804927345,0.036615774364721056,0.01745602936700036,0.00501196073957054,0.01230954781428689,80.49584052365368,24.492176435584646,0.5142011306158881,0.0644756804997769,0.13811958946898706,0.7973993752788934,0.20256006247211067,0.24837295070709273,0.04350086688305054,9.0,ME,
ChrisMurphyCT,150078976,Chris Murphy,Democrat,22735,1099236,267,29272,2010-05-31 01:22:43+00:00,117.0,official,0.0010003334444814939,94.88540624652661,4.009722222222222,2.8663194444444446,0.0045138888888888885,0.04243799601767884,0.025216555951918965,-0.010863159771444397,-0.026318214459557534,0.07558020795010782,0.032295159853872366,76.7496859467781,34.33643369254453,0.38222652298218607,0.07495645480536617,0.1310576204090609,0.7939825379371014,0.129517664394106,0.16876336886134063,0.038339103442980554,9.0,CT,0.5
LisaForSenate,151247615,Lisa Murkowski,Republican,1114,9230,479,1677,2010-06-02 23:58:26+00:00,116.0,official,0.0,97.72321428571429,4.184210526315789,3.0,0.0,-0.019728289877709325,-0.03023327274744642,-0.08556710406377234,-0.08637087179707238,-0.006248983930464105,-0.01764365665355356,81.84179533213644,28.301077199281867,0.3637612208258528,0.02828725314183124,0.19004039497307004,0.7816804308797127,0.4606155296229803,,,,,
RepBeatty,1531521632,Rep. Joyce Beatty,Democrat,10302,76100,2409,13967,2013-06-19 17:47:09+00:00,118.0,official,0.0,93.96725912067353,4.086868686868687,2.875757575757576,0.0015151515151515152,-0.03384799542501381,-0.023705759643949952,-0.05907508982132542,-0.029740106936611787,-0.014382192231803193,-0.013137901545220964,80.52945156280335,25.59433605125218,0.6140584352552902,0.04840254319549602,0.14281644340904678,0.8087820811492914,0.22207179188507087,0.29164477287750384,0.06348350042558405,9.0,OH,0.5
ChrisCoons,15324851,Senator Chris Coons,Democrat,14199,218088,4133,17341,2008-07-05 11:17:54+00:00,116.0,official,0.0,95.9251447477254,4.091688089117395,2.9083119108826048,0.003427592116538132,0.029012103448568274,0.04098519334374572,-0.017804593636846736,-0.008222358090332966,0.0389598880752775,0.04645128709648132,79.32793154447496,27.06859849285161,0.6796499753503769,0.055110993731952954,0.16410902176209594,0.7807779421085992,0.305283393196704,,,,,0.583
RepMarciaFudge,153486399,Former Rep. Marcia L. Fudge,Democrat,6254,49594,5930,7487,2010-06-08 17:54:06+00:00,116.0,official,0.0021413276231263384,93.84618129907209,4.113839285714286,2.921875,0.0,-0.0068351249907291495,0.013347552470535384,-0.024757204695995086,-0.010410937124604273,-0.006222329710156244,0.020709424155871858,82.18638151582986,28.54556283978254,0.538864726574992,0.054685960984969625,0.14275055964182923,0.8025639590661976,0.22242844579469143,0.25591373084079483,0.03690452772877334,8.0,OH,0.6
