subject;condition;instruct;as1;as2;as3;as4;as5;as6;as7;as8;as9;as10;as11;as12;as13;sex;as3r;as6r;as13r;as;age_groups
46;0;1;4;1;4;1;1;7;7;1;4;1;4;4;4;2;4;1;4;2,84615384615385;3
47;0;0;4;1;5;3;1;6;2;2;6;4;3;3;2;1;3;2;6;3,07692307692308;2
48;0;1;4;2;5;5;1;6;6;1;3;4;5;5;1;1;3;2;7;3,69230769230769;2
49;1;1;5;2;5;4;1;3;3;2;5;1;2;3;5;1;3;5;3;3;2
50;1;0;4;1;6;4;1;7;6; ;2;1;4;1;5;1;2;1;3;2,5;3
51;1;0;4;1;2;3;7;1;4;7;3;4;3;3;4;2;6;7;4;4,30769230769231;1
52;0;0;4;1;3;2;1;3;3;3;3;3;4;5;5;2;5;5;3;3,23076923076923;3
53;0;0;1;1;7;1;7;7;1;1;1;1;1;1;7;2;1;1;1;1,46153846153846;2
54;1;0;4;1;5;3;1;4;1;1;3;1;4;5;5;2;3;4;3;2,61538461538462;1
55;1;0;2;1;7;1;1;7;1;1;1;1;1;1;7;1;1;1;1;1,07692307692308;2
56;0;0;6;4;1;6;2;4;4;4;6;5;5;4;3;2;7;4;5;4,76923076923077;2
57;0;0;3;1;4;3;1;5;2;2;1;1;2;4;4;2;4;3;4;2,38461538461538;2
58;1;1;3;1;3;5;1;5;3;2;2;1;3;5;3;2;5;3;5;3;2
59;0;0;3;1;3;6;1;4;4;2;4;1;1;4;4;2;5;4;4;3,07692307692308;1
60;1;1;5;7;3;4;7;2;6;6;4;6;6;5;4;2;5;6;4;5,46153846153846;1
61;0;1;4;1;4;5;1;3;2;2;5;1;3;4;2;1;4;5;6;3,30769230769231;1
62;0;1;1;1;4;4;1;6;2;2;3;1;1;6;3;2;4;2;5;2,53846153846154;1
63;1;1;1;1;4;4;1;1;3;1;2;2;3;3;5;2;4;7;3;2,69230769230769;1
64;1;0;3;1;6;2;1;1;4;2;5;2;2;4;4;1;2;7;4;3;1
65;0;1;2;1;5;5;1;3;4;2;3;1;1;5;5;2;3;5;3;2,76923076923077;1
66;1;0;3;1;1;5;1;4;1;5;4;1;3;3;4;1;7;4;4;3,23076923076923;2
67;0;0;5;1;3;6;1;3;5;1;5;5;5;4;3;1;5;5;5;4,07692307692308;2
68;1;1;4;2;5;5;1;7;6;1;6;1;4;6;4;2;3;1;4;3,38461538461538;2
69;0;1;3;1;5;6;1;6;5;1;4;3;3;4;3;2;3;2;5;3,15384615384615;2
70;1;0;1;1;4;3;1;7;2;1;3;2;4;2;3;2;4;1;5;2,30769230769231;2
71;0;1;5;1;4;5;1;4;6;3;6;2;3;7;1;1;4;4;7;4,15384615384615;2
72;1;1;1;1;7;1;1;3;3;1;1;1;1;3;4;2;1;5;4;1,84615384615385;3
73;0;0;1;1;4;2;1;7;7;1;1;1;1;1;7;1;4;1;1;1,76923076923077;3
74;1;1;4;1;3;3;1;7;3;1;4;3;3;4;4;2;5;1;4;2,84615384615385;3
75;0;0;4;1;5;4;1;4;4;1;4;1;1;4;4;2;3;4;4;2,76923076923077;2
76;1;1;3;1;6;3;1;6;6;2;4;1;2;6;5;1;2;2;3;2,76923076923077;3
77;1;1;5;4;6;5;3;2;6;1;4;1;4;7;3;1;2;6;5;4,07692307692308;2
78;0;0;5;1;1;6;1;5;7;1;6;3;6;6;2;2;7;3;6;4,46153846153846;3
79;0;0;2;1;4; ;1;6; ;1; ;1;1;6; ;2;4;2; ;2,11111111111111;3
80;1;1;4;4;4;4;4;4;4;4;4;4;4;4;3;1;4;4;5;4,07692307692308;2
81;0;0;5;1;4;4;1;6;7;1;5;5;4;5;3;1;4;2;5;3,76923076923077;2
82;1;1;3;1;4;3;1;7;3;1;4;2;4;3;4;1;4;1;4;2,61538461538462;1
83;0;1;3;1;4;2;1;5;3;2;2;3;3;4;3;2;4;3;5;2,76923076923077;1
84;0;1;1;2;1;2;1;4;2;1;2;1;3;4;5;2;7;4;3;2,53846153846154;1
85;0;1;3;1;6;4;1;7;6;1;1;1;3;5;4;1;2;1;4;2,53846153846154;3
86;1;0;3;1;4;3;1;6;2;1;5;1;3;7;4;2;4;2;4;2,84615384615385;3
87;1;1;4;1;6;7;1;6;4;4;4;1;1;1;4;1;2;2;4;2,76923076923077;2
88;0;1;1;1;7;1;1;7;4;1;4;1;1;4;4;2;1;1;4;1,92307692307692;1
89;0;1;1;1;7;3;1;7;3;1;7;1;1;4;2;2;1;1;6;2,38461538461538;2
90;0;0;4;1;5;7;1;7;4;1;4;1;4;7;3;1;3;1;5;3,30769230769231;1
91;0;1;3;1;1;5;1;3;1;1;4;1; ;1;1;1;7;5;7;3,08333333333333;1
92;1;0;4;1;6;4;1;7;7;1;1;1;4;5;4;1;2;1;4;2,76923076923077;3
93;1;0;1;1;1;4;1;4;4;1;7;5;5;3;2;1;7;4;6;3,76923076923077;1
94;1;1;4;1;4;4;1;7;1;1;4;4;4;4;4;1;4;1;4;2,84615384615385;3
95;0;0;1;1;7;1;1;7;5;1;1;1;1;6;1;2;1;1;7;2,15384615384615;3
96;1;1;3;1;7;4;1;7;5;1;2;1;1;7;2;2;1;1;6;2,61538461538462;3
97;0;0;4;1;4;5;1;7;4;5;1;1;1;4;4;2;4;1;4;2,76923076923077;3
98;0;0;6;1;4;6;1;4;4;3;5;4;4;2;3;1;4;4;5;3,76923076923077;1
99;1;1; ;2;3;3;1;7;2;2;3;3;3;5;3;1;5;1;5;2,91666666666667;2
100;1;0;4;1;2;3;6;2;1;6;2;2;3;1;5;1;6;6;3;3,38461538461538;3
