"subj","cond","intercept","coef","bias","exp"
8,1,1.95,0.12,-22.0000000000002,3
9,1,1.85625,0.252500000000001,-25.7500000000002,3
10,1,1.6375,0.295,-34.5000000000002,3
11,1,2.31874999999999,0.2925,-7.25000000000021,3
12,1,1.45,0.224999999999999,-42.0000000000001,3
14,1,1.74375,0.2775,-30.2500000000002,3
1,2,2.66875,0.3225,6.74999999999988,3
2,2,1.7625,0.709999999999997,-29.5000000000002,3
5,2,2.0625,0.969999999999998,-17.5000000000002,3
6,2,2.08125,0.3525,-16.7500000000002,3
7,2,3.04375,0.597499999999998,21.7499999999999,3
8,2,2.96875,0.642499999999998,18.7499999999999,3
9,2,3.0625,0.624999999999999,22.4999999999999,3
10,2,3.06875,0.802499999999998,22.7499999999999,3
11,2,2.91875,0.432499999999999,16.7499999999999,3
12,2,2.94375,0.697499999999998,17.7499999999999,3
14,2,2.96875,0.707499999999998,18.7499999999999,3
1,3,2.8,0.28,12,3
2,3,1.775,0.729999999999998,-29.0000000000001,3
5,3,2.05625,0.942499999999999,-17.7500000000002,3
6,3,2.13749999999999,0.334999999999999,-14.5000000000002,3
7,3,3.2125,0.604999999999998,28.4999999999999,3
8,3,3.25,0.649999999999999,29.9999999999998,3
9,3,3.31875,0.502499999999999,32.7499999999999,3
10,3,3.43749999999999,0.625,37.4999999999998,3
11,3,3.21875,0.2875,28.7499999999999,3
12,3,3.025,0.519999999999997,20.9999999999999,3
14,3,3.24375,0.5975,29.7499999999999,3
1,1,1.525,0.189999999999999,-39.0000000000001,4
2,1,1.86875,0.2725,-25.2500000000002,4
3,1,1.61875,0.317499999999999,-35.2500000000002,4
5,1,1.875,0.18,-25.0000000000002,4
6,1,2.03172205438066,0.438066465256797,-18.7311178247736,4
7,1,1.8375,0.209999999999999,-26.5000000000002,4
8,1,2.0875,0.339999999999999,-16.5000000000002,4
10,1,1.4375,0.269999999999999,-42.5000000000001,4
11,1,1.775,0.289999999999999,-29.0000000000002,4
12,1,2.51875,0.482500000000001,0.749999999999833,4
13,1,2.21875,0.277499999999999,-11.2500000000002,4
14,1,1.89873417721519,0.388185654008439,-24.0506329113924,4
17,1,1.70625,0.2925,-31.7500000000001,4
18,1,1.575,0.265,-37.0000000000001,4
19,1,1.88125,0.2375,-24.7500000000002,4
20,1,1.6875,0.309999999999999,-32.5000000000002,4
1,2,2.78125,0.757499999999999,11.2499999999999,4
2,2,2.8875,0.724999999999999,15.4999999999999,4
3,2,2.10625,0.582499999999998,-15.7500000000002,4
5,2,2.59375,0.512499999999999,3.74999999999981,4
6,2,2.16834565619224,0.441682070240296,-13.2661737523105,4
7,2,2.8375,0.555,13.4999999999999,4
8,2,2.41875,0.442499999999999,-3.25000000000015,4
10,2,2.36875,0.782499999999998,-5.25000000000013,4
11,2,2.6,0.605,3.99999999999986,4
12,2,2.7,0.674999999999999,7.99999999999983,4
13,2,2.55625,0.267499999999999,2.24999999999984,4
14,2,2.70434957915428,0.625976513280581,8.17398316617117,4
17,2,2.16875,0.632499999999999,-13.2500000000002,4
18,2,2.35625,0.697499999999999,-5.75000000000015,4
19,2,2.70625,0.687499999999999,8.24999999999985,4
20,2,2.76875,0.827499999999999,10.7499999999999,4
1,3,3.47499999999999,0.629999999999998,38.9999999999997,4
2,3,3.47499999999999,0.544999999999999,38.9999999999997,4
3,3,2.3625,0.624999999999999,-5.50000000000018,4
5,3,2.8125,0.564999999999999,12.4999999999998,4
6,3,2.37999670320613,0.599109865655651,-4.80013187175475,4
7,3,3.49374999999999,0.537499999999999,39.7499999999997,4
8,3,2.55,0.58,1.99999999999983,4
10,3,3.14375,0.752499999999999,25.7499999999999,4
11,3,3.30624999999999,0.557499999999999,32.2499999999997,4
12,3,2.74375,0.637499999999999,9.74999999999984,4
