pref,rule,comm,rev,nsubj,file,period,subj,group,type,sample,action,groupdec,jar,payoff,time
het,5,1,0,18,HET_5_18_chat.txt,6,11,2,2,2,2,2,2,150,48
het,5,1,0,18,HET_5_18_chat.txt,7,4,1,2,1,2,2,2,150,23
het,5,1,0,18,HET_5_18_chat.txt,7,18,1,2,2,2,2,2,150,17
het,5,1,0,18,HET_5_18_chat.txt,7,2,1,1,2,2,2,2,50,28
het,5,1,0,18,HET_5_18_chat.txt,7,5,1,1,2,2,2,2,50,20
het,5,1,0,18,HET_5_18_chat.txt,7,7,1,1,2,2,2,2,50,15
het,5,1,0,18,HET_5_18_chat.txt,7,10,1,2,2,2,2,2,150,13
het,5,1,0,18,HET_5_18_chat.txt,7,15,1,2,1,2,2,2,150,21
het,5,1,0,18,HET_5_18_chat.txt,7,11,1,1,2,2,2,2,50,28
het,5,1,0,18,HET_5_18_chat.txt,7,13,1,1,1,1,2,2,50,24
het,5,1,0,18,HET_5_18_chat.txt,7,6,2,2,1,1,1,1,50,59
het,5,1,0,18,HET_5_18_chat.txt,7,16,2,1,2,2,1,1,150,18
het,5,1,0,18,HET_5_18_chat.txt,7,12,2,2,2,2,1,1,50,28
het,5,1,0,18,HET_5_18_chat.txt,7,17,2,1,2,2,1,1,150,21
het,5,1,0,18,HET_5_18_chat.txt,7,9,2,1,1,1,1,1,150,24
het,5,1,0,18,HET_5_18_chat.txt,7,14,2,2,1,1,1,1,50,22
het,5,1,0,18,HET_5_18_chat.txt,7,8,2,2,2,1,1,1,50,33
het,5,1,0,18,HET_5_18_chat.txt,7,1,2,2,1,1,1,1,50,13
het,5,1,0,18,HET_5_18_chat.txt,7,3,2,2,1,1,1,1,50,31
het,5,1,0,18,HET_5_18_chat.txt,8,10,1,1,1,1,1,1,150,17
het,5,1,0,18,HET_5_18_chat.txt,8,8,1,2,1,1,1,1,50,13
het,5,1,0,18,HET_5_18_chat.txt,8,16,1,2,1,1,1,1,50,19
het,5,1,0,18,HET_5_18_chat.txt,8,9,1,1,1,1,1,1,150,14
het,5,1,0,18,HET_5_18_chat.txt,8,14,1,1,1,1,1,1,150,15
het,5,1,0,18,HET_5_18_chat.txt,8,12,1,2,1,1,1,1,50,23
het,5,1,0,18,HET_5_18_chat.txt,8,2,1,2,1,1,1,1,50,17
het,5,1,0,18,HET_5_18_chat.txt,8,15,1,2,1,1,1,1,50,13
