NR;JW1;JW2;JW3;JW4;JW5;JW6;JW7;JW8;JW9;JW10;JW11;JW12;JW13;CM1;CM2;CM3;CM4;CM5;CM6;CM7;CM8;CM9;CM10;CM11;CM12;RWA1;RWA2;RWA3;RWA4;RWA5;RWA6;RWA7;RWA8;RWA9;RWA10;RWA11;RWA12;SDO1;SDO2;SDO3;SDO4;SDO5;SDO6;SDO7;SDO8;SDO9;SDO10;SDO11;SDO12;SDO13;SDO14;SDO15;SDO16;GASP1;GASP2;GASP3;GASP4;GASP5;GASP6;GASP7;GASP8;GASP9;GASP10;GASP11;GASP12;GASP13;GASP14;GASP15;GASP16;NI1;NI2;NI3;NI4;NI5;NI6;NI7;NI8;NI9;AS1;AS2;AS3;AS4;AS5;AS6;AS7;AS8;AS9;AS10;AS11;AS12;AS13;AS14;AS15;AS16;AS17;AS18;AC1;AC2;AC3;AC4;AC5;AC6;AC7;AC8;AC9;AC10;MA1;MA2;MA3;MA4;MA5;MA6;MA7;MA8;TU1;TU2;TU3;TU4;TU5;TU6;TU7;TU8;JU1;JU2;JU3;JU4;JU5;JU6;JU7;JU8;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;TH1;TH2;TH3;TH4;TH5;TH6;TH7;TH8;TIPI1;TIPI2;TIPI3;TIPI4;TIPI5;TIPI6;TIPI7;TIPI8;TIPI9;TIPI10;GES;BIL;POL;MIG;REL1;REL2;Setting
41;1;0;2;2;3;4;4;4;2;4;5;4;4;7;3;4;6;4;6;2;4;4;6;5;2;4;1;4;3;3;1;7;6;6;1;2;1;6;1;1;1;4;1;1;1;1;5;7;3;6;7;3;7;7;6;7;1;7;4;2;1;7;7;4;1;7;7;7;7;1;1;1;4;3;3;7;1;1;7;1;1;1;1;4;1;1;3;7;7;1;6;1;1;1;4;2;7;2;2;1;2;4;1;1;1;7;5;3;4;6;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;16;16;6;16;6;16;16;22;7;1;4;4;7;1;7;2;3;2;2;5;3;1;2;2;1
42;1;1;1;1;2;1;4;4;1;2;4;2;4;6;7;6;6;3;6;5;1;6;4;4;5;7;1;7;1;7;1;2;7;6;1;6;1;6;2;2;1;1;1;1;1;2;5;5;6;6;7;7;7;7;6;7;3;5;7;4;1;7;7;6;2;7;6;7;7;2;1;1;6;2;1;6;2;2;4;3;2;2;2;4;5;2;2;6;4;6;5;6;6;5;6;3;4;2;4;3;2;4;2;2;2;5;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;13;10;14;14;9;16;12;13;2;4;5;5;5;6;6;2;5;4;2;5;4;1;1; ;1
43;1;1;1;2;3;2;3;4;4;4;4;4;4;5;5;5;6;3;5;5;2;6;6;5;5;4;4;5;3;4;2;7;2;6;2;3;1;6;2;1;1;2;1;1;1;2;4;6;7;5;5;7;7;4;6;6;6;6;6;6;6;7;6;5;3;7;7;5;6;2;1;2;1;2;2;5;2;2;6;1;1;2;1;6;2;2;2;7;6;2;6;2;2;3;3;5;6;3;3;3;4;5;3;3;3;5;6;6;3;6;3;6;6;3;3;3;4;2;3;3;3;3;2;3;6;5;5;2;2;6;5;5;4;6;5;4;4;5;9;19;25;13;9;9;22;22;6;2;6;2;7;5;6;2;6;3;2;5;4;1;1;2;1
44;2;2;1;3;4;3;4;4;5;4;4;4;4;6;5;6;5;2;3;4;2;6;5;6;5;2;3;6;5;5;1;5;2;5;4;2;3;5;5;1;1;2;3;2;1;5;5;5;5;3;5;5;4;6;7;5;2;5;5;6;1;3;6;6;2;4;2;6;5;5;1;2;5;2;4;1;2;1;4; ;1;1;2;4;1;2;5;7;3;4;5;4;4;5;4;2;4;6;5;2;5;4;2;2;4;7;5;3;3;5;6;5;6;4;2;2;5;3;4;3;4;4;2;3;4;3;5;2;2;4;3;3;4;2;4;3;2;4;6;13;19;19;19;16;19;16;5;4;6;5;4;4;5;2;3;4;2;5;4;1;1;2;1
45;2;1;2;1;2;2;4;4;4;4;4;3;4;5;3;4;4;6;4;2;3;3;3;3;2;5;4;7;3;7;2;7;2;7;3;6;1;1;1;1;1;5;1;3;1;5;5;6;4;5;5;6;6;5;7;6;5;5;6;4;2;6;4;5;2;6;5;7;5;3;2;2;4;3;3;5;3;2;5;1;1;1;2;4;2;1;1;7;5;2;4;2;1;1;2;2;5;2;2;2;2;4;2;1;4;6;5;5;3;6;4;5;5;4;2;2;5;2;4;4;3;5;2;2;5;2;5;2;2;6;2;2;3;2;4;2;1;5;13;19;22;23;13;19;23;17;5;3;6;3;5;4;5;4;3;4;2;5;3;1;2;2;1
46;1;1;2;0;1;1;2;4;2;4;3;2;4;6;5;6;3;6;5;2;2;4;3;2;2;4;3;6;2;7;2;7;3;4;1;3;1;6;1;1;1;6;1;2;1;6;6;6;4;4;4;3;6;6;6;5;2;6;3;5;5;6;5;6;2;6;6;6;6;2;2;1;1;2;1;1;1;1;4;4;1;1;2;4;4;4;4;6;4;4;3;2;2;3;1;5;3;2;5;3;2;4;4;4;4;2;6;4;5;5;3;6;5;3;4;6;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;13;6;13;6;6;13;13;13;5;3;6;2;5;4;6;3;3;3;2;4;3;1;2;2;1
47;1;1;2;3;4;3;4;4;4;4;5;4;4;6;5;6;5;4;4;4;3;5;5;4;4;6;4;7;1;4;2;6;1;7;4;2;2;6;3;1;1;3;1;1;1;2;4;7;7;6;4;7;7;4;7;7;2;6;6;5;1;6;6;6;2;6;6;6;6;1;1;2;1;2;1;5;2;2;6;2;1;1;1;5;2;1;1;6;5;1;5;1;1;1;5;4;6;2;4;2;2;5;3;1;1;6;6;6;4;3;4;4;3;6;3;5;5;2;4;2;2;5;2;4;5;2;6;2;2;6;5;4;6;2;6;2;2;6;6;19;19;6;14;13;13;17;5;1;6;4;4;3;6;1;4;1;2;5;4;1;2;3;1
48;1;1;1;1;3;2;3;4;3;4;3;3;4;6;6;7;5;4;4;5;2;6;4;4;4;7;4;7;2;2;3;7;3;5;4;3;2;6;4;2;1;4;1;1;1;3;5;7;7;6;6;7;5;3;6;4;2;6;6;4;1;6;7;6;1;5;6;7;6;2;1;1;3;1;2;1;1;1;4;2;1;1;1;6;1;1;7;7;6;2;4;2;1;2;5;5;7;4;3;4;1;6;1;1;7;5;6;5;2;5;3;5;6;4;2;2;5;2;5;3;1;5;1;2;6;2;5;1;1;5;1;2;6;1;5;1;1;5;19;9;19;4;5;18;18;18;3;5;6;3;6;6;5;1;4;2;2;5;3;4;6;1;1
49;1;2;2;2;3;1;3;4;4;3;3;3;3;4;6;5;7;4;5;5;5;6;7;5;4;4;4;6;2;2;2;4;3;7;4;4;4;6;6;4;7;6;6;1;3;2;4;4;4;2;2;5;6;4;6;3;2;3;5;5;1;6;5;6;4;6;5;5;4;3;4;4;6;6;4;4;3;4;4;2;6;6;5;4;5;3;4;2;3;6;3;5;5;6;3;4;7;5;5;5;1;7;5;1;6;2;3;4;4; ;2;5;6;2;4;4;6;4;2;5;6;3;3;4;5;3;3;5;6;2;2;4;7;4;7;2;2;6;6;3;6;13;3;19;13;26;6;6;6;3;7;2;7;2;7;1;2;5;4;4;3;3;1
50;1;2;2;3;3;3;2;3;3;3;3;2;4;7;6;6;5;6;3;3;5;5;4;4;3;3;2;7;4;7;4;7;4;5;3;5;3;5;2;1;1;2;1;1;1;3;5;6;7;6;7;7;7;6;6;7;3;5;7;4;2;6;7;5;4;7;6;6;5;3;2;2;3;3;2;6;4;2;7;1;1;1;1;6;1;1;5;7;7;1;6;1;1;1;4;5;7;1;1;1;1;6;1;1;6;7;5;5;4;5;5;6;5;4;1;1;5;1;6;1;1;6;1;1;6;1;6;1;1;6;1;1;6;1;6;1;1;6;15;21;25;25;18;24;27;26;4;5;5;6;5;6;6;5;4;4;2;5;3;1;1;3;1
51;0;1;0;1;2;2;2;3;3;3;2;3;4;4;7;7;4;4;4;4;3;5;6;5;4;5;6;7;3;7;3;4;4;5;4;5;4;6;4;5;2;5;5;5;3;6;4;4;4;3;4;4;4;2;7;6;3;4;6;4;1;6;4;5;4;6;6;6;6;5;4;5;6;6;4;6;6;4;4;4;4;4;4;5;4;4;1;4;7;5;5;5;5;5;5;6;7;4;4;4;4;5;4;4;5;4;6;6;3;6;2;6;6;2;3;3;4;4;2;2;3;3;4;4;6;5;5;3;3;3;5;6;4;6;3;5;5;3;6;3;16;13;13;3;13;13;5;4;5;4;4;5;5;2;5;2;2;5;4;1;2;3;1
52;1;2;2;1;2;1;3;4;4;4;3;4;3;5;5;7;5;4;4;5;3;5;5;5;3;5;5;5;4;7;6;7;5;4;4;4;3;6;2;1;1;3;2;2;2;3;3;5;6;5;6;6;5;6;5;6;3;4;4;2;1;6;5;5;2;4;5;6;4;4;2;4;3;2;2;5;3;3;3;1;2;2;2;5;2;3;4;5;4;3;5;3;2;1;5;4;5;3;4;3;2;5;4;3;4;5;5;5;3;6;4;5;4;4;4;4;5;3;4;5;4;5;4;3;5;4;5;3;3;6;5;4;3;5;4;4;4;5;9;6;16;22;3;6;6;9;5;5;6;4;5;4;6;3;4;4;2;5;3;1;2;3;1
53;1;1;3;3;3;3;4;4;4;4;3;3;4;3;2;6;6;4;3;5;3;7;6;6;6;6;3;7;2;5;5;7;2;5;2;2;2;5;2;4;2;2;2;6;2;6;6;6;6;4;6;6;6;4;7;7;5;6;7;7;6;6;7;6;1;7;6;6;6;6;3;2;7;6;5;2;4;3;5;2;1;2;2;5;3;2;1;3;5;3;2;2;2;3;2;5;6;2;4;3;2;5;3;2;1;3;6;5;3;5;5;6;5;3;5;5;4;4;2;5;5;2;6;3;5;5;3;3;3;3;6;2;5;2;5;2;2;5;0;25;28;13;16;3;16;19;6;2;7;4;6;5;7;2;6;1;2;5;4;1;1;4;1
54;0;0;0;1;0;0;3;3;3;3;3;3;3;7;5;7;7;4;3;4;1;5;4;6;4;5;3;7;2;7;1;7;3;7;2;4;5;7;2;1;1;1;1;1;1;1;4;7;7;7;7;7;7;6;7;5;1;3;6;4;1;3;6;4;2;7;7;5;6;1;1;1;2;1;2;6;1;1;3;1;1;1;1;4;1;1;4;7;4;1;1;2;1;2;2;7;4;1;1;4;1;4;1;1;4;7;5;4;4;4;4;5;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;25;6;16;16;9;16;16;16;6;2; ;2;7;2;7;2;4;2;2;5;3;1;1;3;1
55;2;2;3;1;2;3;4;5;5;5;4;5;4;6;4;6;6;6;4;2;4;2;2;4;2;7;2;6;2;5;1;7;3;6;2;4;2;6;2;1;1;1;1;2;1;4;6;7;3;4;6;6;6;6;7;5;1;6;3;4;1;6;6;7;1;2;6;6;7;2;2;1;4;5;1;6;2;1;4;1;2;1;1;4;1;1;3;7;5;1;4;1;1;2;2;2;4;1;2;1;1;5;1;1;2;7;5;4;4;6;4;5;4;5;4;3;4;4;4;2;2;4;4;3;4;4;4;2;2;4;4;3;4;4;4;2;2;4;19;22;19;19;19;19;19;19;6;3;5;2;6;3;6;2;6;2;2;5;3;1;1;1;1
56;1;1;2;2;2;3;4;4;4;4;5;4;5;6;3;4;3;5;5;2;1;5;3;4;3;6;2;7;2;7;2;7;1;7;2;2;1;4;1;1;1;1;1;1;1;2;7;7;7;7;7;7;7;5;6;7;1;7;7;6;1;7;7;7;2;7;7;7;7;1;1;2;1;2;1;6;2;1;7;1;1;1;1;5;1;1;1;7;7;1;7;1;1;1;1;2;7;1;5;1;2;5;1;1;1;7;7;5;3;4;4;4;3;3;1;1;5;1;7;1;1;7;1;1;5;1;7;1;1;7;1;1;6;1;7;1;1;7;10;9;13;4;16;25;25;25;5;4;7;3;7;5;7;2;5;2;2;6;3;1;1;3;1
57;0;2;2;1;2;0;3;4;3;4;3;4;3;7;5;7;5;6;2;1;4;4;3;3;3;6;1;7;1;7;1;7;1;7;1;7;1;7;1;1;1;1;3;1;1;3;7;7;7;7;7;7;7;5;4;5;1;7;6;4;1;2;3;7;1;7;2;7;6;1;1;1;1;1;1;1;1;1;7;1;1;1;1;4;1;1;1;7;7;1;7;1;1;1;2;2;7;1;4;1;1;4;1;1;1;7;4;1;3;4;2;5;4;3;1;1;4;1;4;2;1;4;1;1;4;1;4;1;1;4;1;1;4;1;4;1;1;4;16;0;16;9;6;22;25;25;3;5;6;4;7;6;6;2;4;4;2;6;2;1;1;1;1
58;2;2;2;3;2;2;4;4;4;5;5;5;5;7;5;7;3;3;3;2;2;6;4;6;4;6;3;7;2;4;3;5;3;6;2;2;1;6;5;5;2;2;6;4;2;6;3;6;3;2;2;2;6;6;7;5;2;6;4;2;1;4;5;4;1;6;5;6;5;3;1;1;1;3;1;6;1;1;7;4;1;1;4;4;1;1;2;6;6;4;1;4;4;6;2;4;4;5;6;5;4;4;4;4;4;5;7;5;4;6;3;6;4;3;5;6;3;3;3;6;6;4;3;6;5;7;6;3;3;4;3;6;5;6;4;4;4;4;16;25;25;31;19;6;16;16;5;1;5;1;7;1;6;1;6;3;2;5;5;1;1;1;1
59;0;0;2;4;0;2;4;5;5;5;5;4;4;5;3;6;4;5;3;3;4;4;5;3;5;5;3;7;2;2;1;7;1;7;1;6;1;7;1;1;1;1;1;1;1;1;7;7;7;7;7;7;7;5;3;2;5;7;3;4;4;6;3;6;1;6;7;7;5;1;1;1;1;1;1;1;1;1;7;2;1;3;2;4;3;3;1;7;6;2;6;2;1;1;1;3;1;7;2;1;2;4;3;2;2;7;7;5;2;5;3;4;5;1;6;4;5;3;5;3;3;5;6;2;5;2;5;2;2;5;6;2;5;2;5;3;3;5;19;13;13;13;9;16;19;16;4;3;5;3;5;4;7;1;6;2;2;5;3;1;2;4;1
60;0;1;1;3;1;0;1;4;1;4;4;4;4;7;2;7;5;2;7;3;2;7;2;5;5;6;2;7;2;7;2;7;1;7;5;1;2;6;3;1;1;1;1;1;1;3;7;7;7;6;7;7;7;6;7;3;2;3;7;7;2;7;7;5;2;7;5;6;6;1;1;3;1;3;1;5;2;1;5;1;1;1;1;6;1;1;1;7;5;1;7;1;1;1;4;3;5;4;3;1;5;3;2;1;2;5;3;4;4;4;3;5;3;4;2;2;5;4;4;2;2;5;2;1;4; ;4;2;1;4;2;3;2;4;2;4;1;6;6;9;16;25;9;19;25;13;2;2;7;4;6;7;7;1;3;1;2;5;3;1;2;3;1
61;0;0;1;2;1;1;4;4;4;4;4;4;4;7;5;7;7;5;4;4;2;7;3;6;5;6;4;7;1;7;1;7;2;7;1;7;1;7;1;1;1;7;1;1;1;6;7;7;7;7;7;7;7;7;5;6;3;4;7;2;1;6;5;7;1;6;5;7;7;4;1;1;1;4;3;1;1;1;7;6;1;3;2;7;2;2;1;7;6;1;5;1;1;2;4;7;4;6;4;3;4;3;2;3;2;7;7;5;3;7;2;7;7;2;2;2;6;5;4;5;1;4;4;5;5;3;4;4;4;4;4;6;2;3;3;4;7;3;25;19;19;6;6;25;19;16;7;1;5;2;7;1;7;5;7;2;2;5;3;1;2;1;1
62;1;1;1;0;1;2;4;4;3;4;4;3;4;6;4;5;4;3;3;2;2;5;6;5;4;5;5;7;2;6;3;7;3;5;2;2;3;6;1;1;1;2;1;2;1;6;5;6;7;7;5;7;7;5;7;7;4;6;6;4;2;7;4;6;2;6;4;5;6;4;4;4;4;3;2;2;4;2;6;5;1;1;1;6;1;1;1;7;4;2;4;1;1;3;4;5;6;2;3;1;2;5;1;1;1;7;6;5;2;6;3;4;4;3;1;1;4;4;4;3;3;6;2;2;6;2;7;2;2;5;5;1;7;4;5;2;2;4;22;13;19;14;14;10;22;20;4;1;6;3;4;5;6;2;5;2;2;5;4;2;1;1;1
63;0;0;0;1;1;1;4;4;4;5;5;4;4;6;5;7;3;5;1;2;5;7;3;2;1;6;3;7;4;7;2;7;6;7;2;4;2;7;2;1;1;2;1;1;1;4;7;7;7;6;7;7;7;4;7;5;6;7;7;4;2;6;7;5;1;7;6;7;6;1;1;1;3;1;1;1;1;1;7;1;1;1;1;4;1;1;1;7;7;1;4;1;1;2;2;3;7;1;3;3;1;4;1;1;1;7;5;4;4;5;4;4;4;4;3;2;4;3;4;3;3;4;2;2;4;2;4;2;2;4;2;2;4;2;4;2;2;4;22;19;9;25;22;22;22;22;5;3;5;3;5;1;6;2;5;2;2;5;3;1;1;2;1
64;2;2;1;3;3;1;4;4;3;4;3;4;4;4;2;3;2;5;2;4;5;3;5;1;3;3;1;5;5;7;2;7;2;6;1;1;4;6;2;1;2;2;3;2;2;3;3;6;5;5;5;5;5;4;6;5;2;7;6;6;6;4;4;4;1;6;2;5;2;3;2;3;4;4;2;5;4;1;6;1;1;1;1;4;2;2;5;5;4;2;2;2;2;2;3;4;6;2;4;4;5;5;5;4;6;2;6;4;3;5;5;3;2;4;5;4;6;4;5;2;1;4;5;5;6;2;5;2;2;5;6;4;6;3;4;3;3;4;19;25;19;25;13;25;19;19;6;1;6;5;7;1;7;2;5;2;2;5;3;1;2;3;1
65;0;0;0;0;2;0;4;4;4;5;5;5;3;7;5;5;5;2;4;3;1;6;7;6;4;3;3;7;3;7;1;7;2;6;1;5;5;7;4;1;1;1;1;1;1;6;7;7;7;7;7;7;7;7;7;7;2;5;7;5;1;4;5;3;1;7;4;7;2;2;1;1;4;1;1;5;5;1;7;4;1;1;3;7;1;1;5;7;7;4;1;2;2;3;2;7;5;7;6;1;3;6;7;2;5;7;5;4;6;5;3;2;2;4;2;2;6;1;6;1;1;6;1;4;5;3;4;2;2;5;5;1;2;5;2;2;2;5;6;9;16;16;12;17;16;17;6;6;5;4;6;1;7;6;5;6;2;5;3;1;1;2;1
66;1;1;2;1;0;0;2;3;4;4;2;3;4;7;3;7;6;4;3;3;1;7;6;5;4;6;2;6;1;4;3;7;4;7;4;2;4;5;1;1;1;2;1;3;1;4;4;5;7;6;7;7;7;7;1;6;5;4;4;3;2;7;6;5;2;7;4;7;6;4;1;3;2;2;1;6;1;1;7;1;1;1;1;7;1;7;1;7;6;1;6;1;1;1;4;1;7;1;2;2;4;7;4;1;1;7;7;6;6;7;4;7;7;4;5;2;7;2;7;1;3;7;5;2;7;2;7;1;1;7;1;3;6;4;6;2;1;7;10;16;23;21;14;22;21;22;5;2;6;2;6;2;5;1;6;1;2;5;3;1;2;2;1
67;2;1;1;0;0;0;4;4;4;3;3;4;2;7;6;7;6;2;4;4;1;7;7;7;7;3;4;7;2;1;1;7;6;7;1;2;1;7;1;1;1;2;3;2;1;6;6;7;4;3;6;4;6;1;7;2;2;6;6;4;2;7;3;4;1;5;2;5;6;1;1;1;7;1;1;7;1;1;7;2;1;1;2;4;1;1;4;6;6;1;7;1;5;1;1;5;7;1;6;5;4;4;4;4;2;7;4;3;1;6;2;6;6;2;4;3;5;3;2;6;4;6;4;3;6;3;6;2;2;6;4;4;6;3;6;3;3;6;6;16;19;22;6;16;25;25;6;3; ;6;7;1;7;2;4;5;2;5;3;1;1;3;1
68;2;3;4;3;4;3;4;4;4;4;4;4;4;5;6;6;6;4;5;4;2;5;5;5;5;5;5;7;1;7;1;7;3;7;1;5;1;6;1;1;1;5;1;1;1;2;6;6;3;6;6;7;7;6;1;5;1;5;7;6;1;7;6;6;1;7;4;6;7;1;1;1;1;1;1;7;1;1;4;1;1;1;1;7;1;1;7;7;7;1;7;1;1;1;1;2;3;2;1;1;1;7;1;1;7;7;3;2;5;2;5;4;2;5;1;1;7;1;6;1;1;7;1;1;7;1;7;1;1;7;1;1;7;1;7;1;1;7;25;19;19;9;16;23;24;24;5;3;1;6;6;6;6;6;5;2;2;5;3;2;6;1;1
69;3;4;1;1;1;4;4;4;4;4;5;4;5;7;5;7;6;3;3;2;2;6;5;6;5;3;2;6;5;7;5;7;6;6;4;4;4;5;2;1;1;5;2;1;1;5;5;5;3;4;5;4;6;7;7;6;2;5;6;4;2;6;6;5;1;6;6;7;7;2;1;1;2;1;2;1;2;1;5;1;1;1;1;6;1;1;2;7;6;2;3;2;1;2;2;5;5;1;2;2;1;6;1;1;4;7;5;4;2;6;4;5;5;3;3;4;5;1;5;1;2;3;2;2;6;1;5;2;2;5;1;1;6;2;6;2;1;5;14;15;20;12;13;16;16;16;5;5;6;2;6;1;6;2;6;2;2;5;3;1;6;2;1
70;1;1;1;2;4;2;2;2;2;2;2;2;3;5;3;5;3;4;3;2;4;6;3;3;3;7;5;6;2;7;1;7;2;7;2;4;1;6;2;1;1;1;1;2;1;3;6;6;7;7;7;7;7;7;4;6;2;6;4;3;4;7;5;5;1;6;6;6;6;2;1;1;3;3;2;5;2;2;4;1;1;1;1;4;1;1;4;7;4;1;1;1;3;1;1;4;4;3;3;1;3;5;1;1;4;7;4;5;3;5;4;5;3;3;4;3;5;3;4;4;4;5;4;3;5;3;4;4;4;5;4;3;6;4;5;3;3;5;13;19;13;13;13;16;16;16;6;6;6;7;7;3;5;2;2;2;2;5;3;1;1;1;1
71;1;0;1;0;2;2;3; ;4;4;4;4;4;7;5;6;7;6;4;5;1;7;6;5;5;5;1;7;2;7;1;7;2;7;2;4;1;7;1;1;1;1;1;1;1;4;7;7;7;7;7;7;7;6;6;7;2;5;7;4;1;4;6;5;2;7;6;6;6;1;1;1;1;1;2;2;2;1;7;2;1;1;5;6;1;1;1;7;5;6;4;2;2;1;3;3;7;2;2;2;2;5;2;1;1;7;5;2;2;5;3;6;4;3;1;1;6;2;6;2;2;5;1;1;6;2;6;6;6;3;1;1;5;2;4;2;2;5;19;19;6;13;6;19;19;19;4;2;6;5;6;4;7;2;5;3;2;5;3;1;2;2;1
72;1;1;0;1;3;2;4;3;3;4;4;4;4;7;5;5;4;4;4;3;1;7;3;5;3;6;4;7;3;7;2;7;2;6;2;3;1;5;4;1;1;4;1;2;1;3;5;7;7;6;4;4;7;6;4;7;5;6;7;3;1;2;4;6;1;7;5;7;5;4;4;4;4;2;3;4;4;4;6;2;1;1;1;4;1;1;3;7;5;1;6;1;1;1;1;1;5;1;5;1;1;4;1;1;1;7;6;6;4;4;5;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;13;16;13;16;16;16;16;6;4;5;4;6;4;6;5;4;3;2;5;3;1;2;3;1
73;1;2;2;3;2;2;4;4;4;4;4;4;4;7;6;6;5;4;3;5;2;6;5;6;4;3;4;6;5;7;3;7;5;7;4;4;3;5;4;2;2;5; ;2;1;7;5;6;5;4;3;6;4;5;6;6;2;4;7;3;3;6;7;5;1;6;5;6;2;2;2;2;3;3;1;6;2;1;6;2;2;1;1;4;2;2;4;5;5;3;5;2;2;2;3;2;6;3;5;4;4;3;5;4;4;2;6;5;2;5;3;6;7;3;3;2;5;3;2;5;3;3;5;5;5;3;6;3;3;5;5;6;2;5;6;4;5;5;19;13;16;6;3;16;9;6;5;3;6;3;7;4;5;3;5;3;2;5;3;1;1;3;1
74;0;0;0;1;0;0;0;0;0;0;0;0;2;7;5;6;7;3;5;5;1;7;7;6;7;7;7;7;4;1;4;7;5;7;6;2;1;7;2;1;1;1;1;1;1;1;7;7;7;6;7;7;7;7;2;6;6;7;6;4;1;7;7;1;2;7;7;7;7;1;1;1;1;4;1;1;1;1;4;1;1;1;1;4;1;1;1;5;6;1;1;1;1;1;3;4;4;3;4;4;3;4;1;1;1;4;7;3;1;6;1;7;5;1;1;1;4;2;4;4;4;4;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;16;19;9;16;0;16;16;16;1;1;6;7;4;7;5;2;1;2;2;5;4;2;7;2;1
75;1;2;2;2;3;2;3;3;3;3;3;3;4;5;4;5;5;4;3;4;1;5;5;4;4;7;3;7;2;3;2;6;4;7;3;4;1;3;2;1;1;1;3;3;1;5;4;5;5;4;5;5;5;2;5;2;2;6;6;4;1;4;2;5;3;6;4;2;3;1;1;1;3;3;3;5;3;1;3;3;2;2;2;4;4;3;4;6;5;3;2;3;3;4;3;3;5;3;5;3;4;4;4;4;5;5;4;4;4;4;4;5;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;19;6;25;16;9;19;19;19;5;5;3;4;5;4;6;4;5;3;2;5;3;1;6;1;1
76;1;1;1;0;2;1;1;3;2;3;3;3;4;5;2;5;4;6;3;2;2;3;2;3;2;5;2;6;2;7;2;6;1;5;2;6;2;6;1;1;1;4;1;5;1;4;4;5;3;3;5;3;6;6;3;5;1;4;5;4;1;3;5;6;2;6;3;2;5;2;1;1;4;1;3;6;2;2;5;1;1;3;1;4;1;1;4;7;3;3;2;3;3;1;4;1;6;1;4;1;3;4;1;1;5;7;6;4;3;5;5;5;4;4;2;5;5;2;3;2;2;5;4;4;4;4;4;4;4;4;3;3;5;3;3;3;3;3;13;16;13;19;16;13;16;16;4;2;2;2;5;4;6;5;6;2;1;6;4;1;1;2;1
77;3;4;1;5;2;5;5;4;4;4;4;4;4;7;4;6;6;4;5;6;1;4;5;5;6;7;6;7;6;1;6;6;2;4;5;1;5;6;6;5;7;3;5;1;3;6;7;7;7;6;6;7;7;1;7;6;5;7;7;6;2;7;5;7;5;6;2;7;5;6;4;6;7;6;4;3;4;1;6;1;1;1;1;4;3;3;1;2;6;2;1;2;2;1;2;7;7;2;5;2;1;5;2;1;1;1;6;5;5;5;4;4;7;3;7;4;4;4;2;6;3;2;3;4;5;4;2;3;5;2;5;5;6;4;4;5;6;6;13;31;25;28;28;8;19;26;5;2;7;4;6;6;7;1;3;5;2;6;3;4;3;4;1
78;0;0;1;0;0;1;1;4;2;2;4;3;3;5;4;5;5;4;5;3;3;6;4;5;4;6;5;6;2;7;3;7;1;6;4;5;1;6;2;1;1;2;1;2;1;3;3;6;6;4;4;7;5;5;4;5;2;4;6;4;1;2;5;5;1;5;5;4;2;1;1;2;1;2;1;1;1;1;7;2;1;1;1;4;1;1;6;6;5;2;4;3;2;1; ;2;6;4;5;2;5;4;4;4;2;6;6;6;4;6;6;6;5;4;4;4;5;4;6;4;4;5;4;5;6;5;6;4;4;6;6;5;4;6;3;6;6;4;25;28;19;25;25;22;28;19;6;5;5;2;7;1;6;5;6;3;2;5;4;1;2;3;1
79;2;2;2;2;2;2;4;5;5;5;4;5;4;4;2;4;4;5;2;2;5;5;2;3;4;3;2;5;3;7;2;7;3;7;2;6;2;7;2;2;1;2;1;1;1;2;6;6;7;5;6;7;5;6;7;6;3;6;6;3;2;7;7;6;2;7;7;7;7;2;1;2;3;1;1;2;1;1;4;1;1;1;1;4;1;1;2;7;4;1;4;1;1;1;2;3;4;1;1;1;1;4;1;1;3;7;6;5;3;6;5;6;5;4;1;4;4;4;4;4;4;4;1;1;4;1;4;1;1;4;4;4;4;4;4;4;4;4;16;22;25;25;19;25;25;25;7;3;7;5;6;7;6;4;3;4;2;5;3;1;6;2;1
80;1;2;2;2;3;3;3;4;3;4;4;4;4;5;3;4;5;3;4;3;2;5;4;3;3;4;3;6;3;6;4;6;4;5;4;6;4;5;3;2;2;3;3;3;1;2;5;6;4;5;6;6;6;5;6;7;4;5;6;4;2;6;6;6;2;5;6;6;5;3;2;3;2;2;3;3;2;2;6;3;2;2;3;4;2;2;3;6;4;2;3;2;2;3;4;5;5;3;4;3;3;4;2;2;5;5;6;4;3;5;5;5;4;4;5;4;6;3;4;4;4;5;5;4;5;4;6;4;4;5;6;4;4;5;5;4;4;5;19;22;22;16;22;19;19;17;4;5;6;3;5;4;5;2;6;5;1;5;3;1;6;2;1
