subject;group;panas_1;panas_2;panas_3;panas_4;panas_5;panas_6;panas_7;panas_8;panas_9;panas_10;panas_11;panas_12;panas_13;panas_14;panas_15;panas_16;panas_17;panas_18;panas_19;panas_20;expl_1;expl_2;expl_3;expl_4;expl_5;expl_6;expl_7;expl_8;expl_9;expl_10;wsc_1;wsc_2;wsc_3;wsc_4;wsc_5;wsc_6;wsc_7;wsc_8;wsc_9;wsc_10;wsc_11;wsc_12;wsc_13;wsc_14;wsc_15;wsc_16;wsc_17;wsc_18;wsc_19;wsc_20;wsc_21;wsc_22;wsc_23;wsc_24;wsc_25;wsc_26;wsc_27;wsc_28;wsc_29;wsc_30;mc_a;mc_b;mc_c;mc_d;mc_e;mc_f;sex;bildung;migration;religion;uv_jew;uv_hol;mc_a_correct;mc_b_correct;mc_d_correct;mc_e_correct;mc_c_correct;mc_f_correct;mc_krit;expl_3r;expl_4r;expl_6r;expl_8r;expl_9r;expl_like;panas_pa;panas_na;wsc_1_hol;wsc_2_hol;wsc_3_hol;wsc_4_hol;wsc_5_hol;wsc_6_hol;wsc_7_hol;wsc_8_hol;wsc_9_hol;wsc_10_hol;wsc_hol_sum;age_groups
96;4;3;4;2;3;3;2;2;4;3;4;1;1;1;1;1;1;1;2;1;1;4;5;5;4;4;6;5;2;2;6;t;ichkeit;äßigung;rise;typ;ogramm;entration;l;ngenheit;unft;nzeichen;r;gung;ohner;ang;hrung;bewegung;stille;asium;ern;gramm;de;e;pol;l;on;n;schlag;gung;mmensetzung;4;3;1;4;2;3;2;3;0;1;0;0;1;1;1;1;1;1;1;3;4;2;6;6;4,5;3;1,1;0;0;0;0;0;0;0;0;0;0;0;1
97;1;2;4;3;4;2;1;3;2;4;4;2;1;1;1;1;1;1;1;2;1;5;5;5;3;3;4;5;3;2;5;sit;os;äßigung;ammer;typ;ogramm;entration;atorium;ngenheit;ichtung;nkoffer;rtum;gung;anderer;änger;hrung;pflanzung;tionalität;asium;ern;meter;de;schaft;phylum;tier;on;n;sicht;gung;ge;4;3;2;4;2;2;2;3;0;1;1;1;1;1;1;1;1;1;1;3;5;4;5;6;4,6;2,9;1,2;0;0;0;1;0;0;0;1;0;1;3;1
98;2;2;2;2;1;1;1;2;3;3;2;1;1;1;1;1;1;1;1;1;1;4;5;5;3;5;2;4;3;2;5;Deportation;Endlos;Ermittler;Gaskammer;Genozit;Holland;Konzentraion;Kremel;Vergasen;Vernichten;Aktenberg;Alternative;Bewegung;Einwanderer;Empfängnis;Erfahrung;Fortpflanzung;Funkstille;Gymnasium;Hintern;Kilometer;Kreis;Lieblosigkeit;Monopol;Nagel;Persien;Regeln;Rückrat;Stein;Zusage;4;3;1;4;2;2;2;3;0;2;0;1;1;1;1;1;1;1;1;3;5;6;5;6;4,8;1,9;1;1;0;0;1;1;0;0;0;1;1;5;1
99;3;4;4;4;5;4;3;4;4;4;4;1;1;1;1;1;1;1;1;1;1;3;3;2;2;1;2;2;2;2;4;t;os;ässigung;ammer;m;land;ert;el;angenheit;arbung;neinsicht;r;rtung;wanderer;ang;ahrung;setzung;stelle;asium;erhalt;gramm;se;haber;ismus;tier;on;l;sicht;nbock;ge;4;1;2;4;1;3;2;3;0;2;1;0;1;0;1;0;1;1;1;6;6;6;6;6;4,3;4;1;0;0;0;1;0;0;0;0;0;0;1;3
100;4;3;3;1;2;3;1;1;2;3;3;1;1;1;1;1;1;1;1;1;1;3;3;5;3;2;3;3;3;3;3;Deportation;Endlichkeit;Ermäßigung;Gaskammer;Genozid;Holocaust;Konzentration;Krematorium;Vergangenheit;Verneinung;Aktenvernichter;Altenheim;Bewerbung;Einwanderer;Empfindung;Erfahrung;Fortbewegung;Funkstille;Gymnasium;Hinterhalt;Kilometer;Kreissaal;Liebchen;Monolog;Nagelack;Personalität;Regenbogen;Rücken;Stein;Zusage;4;3;1;4;2;3;1;3;1;1;0;0;1;1;1;1;1;1;1;3;5;5;5;5;3,7;2,2;1;1;0;0;1;1;1;0;1;0;0;5;3
102;2;4;3;4;5;5;2;2;5;3;2;2;2;1;1;2;2;1;3;1;1;1;2;2;3;3;1;4;1;1;5;Depositionieren;Endlich;Ermäßigung;Gaskühltruhe;Genosse;Holz;Konzentrat;Kreml;Vergasen;Verneinen;Akten;Alternativ;Bewegen;Einwandere;Empfehlung;Erfahrung;Fortpflanzung;Funkturm;Gymnnasium;Hintern;Kilos;Kreischen;Liebschaft;Monoton;Nagetier;Personalausweis;Regen;Rücken;Stein;Zusage;4;1;1;1;2;2;2;3;0;2;0;1;1;0;0;1;1;1;1;6;5;7;7;7;4,7;3,5;1,6;0;0;0;0;0;0;0;0;1;0;1;1
103;3;5;5;3;3;3;2;5;3;3;5;4;2;1;3;3;4;1;1;1;1;3;5;4;6;4;2;6;1;1;7;Depot;Endlagerung;Ermässigung;Gaskanne;Genossenschaft;Hol;Konzentration;Kreme;vergangenheit;Vernunft;Akteur;alter;Bewegung;einwand;Empfang;Erfragung;Fortpflanzung;Funktion;Gymnasium;Hintergrund;Kilogram;Kreide;Liebe;Monogamie;nagel;Person;Regen;Rückgang;Steigung;Zusammenhang;4;3;2;4;2;3;2;3;0;1;1;0;1;1;1;1;1;1;1;4;2;6;7;7;5,1;3,7;2,1;0;0;0;0;0;0;0;0;0;0;0;1
104;4;2;3;3;4;3;1;3;4;4;5;1;1;1;1;1;1;1;1;1;1;4;4;5;2;4;2;5;1;1;4;Depot;Endlosigkeit;Ermäßigung;Gaskapsel;Genotyp;Holz;Konzert;Krematorium;Vergangenheit;Vernunft;Aktenzeichen;Altenheim;Bewegung;Einwohner;Empfindung;Erfahrung;Fortschritt;Funkwecker;Gymnasium;Hintergrund;Kilogramm;Kreide;Liebling;Monoton;Nagetier;Persönlichkeit;regenschauer;Rückgang;Steigung;Zusammenhalt;4;3;1;4;2;3;2;3;0;0;0;0;1;1;1;1;1;1;1;3;6;6;7;7;5;3,2;1;0;0;0;0;0;0;0;1;0;0;1;2
105;1;4;4;3;5;3;1;2;5;5;5;1;1;1;1;1;1;2;3;3;1;4;4;2;2;4;3;3;3;3;4;Deportation;Endlösung;Ermittlung;Gaskammer;Genom;Holzrahmen;Konzentration;Krempe;Vergangenheit;Vernunft;Aktenarchiv;Altenheim;Bewegung;Einwohner;Empfinden;Erfahrung;Fortpflanzung;Funkmast;Gymnasium;Hinterhalt;Kilogramm;Kreide;Liebhaber;Monoton;Nagel;Persöhnlichkeit;Regenschauer;Rückwirkung;Steigung;Zusammenhalt;4;3;2;4;2;2;2;3;0;0;1;1;1;1;1;1;1;1;1;6;6;5;5;5;4,6;3,7;1,5;1;0;0;1;0;0;0;0;0;0;2;1
106;2;2;1;1;3;1;3;1;2;1;3;4;1;1;1;1;1;1;1;1;1;3;3;5;4;3;3;5;2;4;2;Depot;Endlich;Ermäßigung;Gaskammer;Genotyp;Hol;Konzert;Krempel;Vergaßung;Vernunft;Aktenkoffer;Alter;Bewegung;Einwand;Empfängnis;Erfahrung;Fortschritt;Funktionalität;Gymnastik;Hinterteil;Kilogramm;Kreidezeit;Liebesbeziehung;Monoton;Nagelbrett;person;Regen;Rücksicht;Steigbügel;Zusammenfassung;4;3;1;4;2;2;2;3;0;1;0;1;1;1;1;1;1;1;1;3;4;5;6;4;3,8;1,8;1,3;0;0;0;1;0;0;0;0;0;0;1;2
107;3;4;4;2;5;2;4;3;5;4;4;4;1;1;2;1;1;2;3;2;2;6;6;5;2;6;1;7;1;1;7;Depot;Endlos;Ermäßigung;Gaskammer;Genozid;Holz;Konzentrationslager;Krematorium;Vergasung;Verneinung;Aktenzeichen;Alternative;Bewegung;Einweihung;Empfänglichkeit;Erfassen;schritt;Funktion;Gymnastik;Hintern;Kilowatt;Kreis;Liebeskummer;Monolog;Nagetier;Personalausweis;Regenbogen;Rücken;Steigung;Zusatzinformation;4;3;2;4;4;3;2;3;0;0;1;0;1;1;1;0;1;1;1;3;6;7;7;7;6,2;3,7;1,9;0;0;0;1;1;0;1;1;1;0;5;1
108;4;3;4;4;4;3;3;3;4;4;4;3;1;1;1;1;1;1;1;1;1;4;3;5;3;4;4;6;2;2;5;Deposit;Endlichkeit;Ermittilung;Gaskammer;Genossenschaft;Holunder;Konzentration;Kreml;Vergangenheit;Vernunft;Aktenzeichen;Alter;Bewegung;Einwand;Empfang;Erfahrung;Fortschritt;Funkuhr;Gymnasium;Hintergrund;Kilogramm;Kreide;Liebe;Monogamie;Nagellack;Person;Regen;Rückblick;Stein;Zusage;4;3;1;4;2;3;1;3;0;1;0;0;1;1;1;1;1;1;1;3;5;4;6;6;4,6;3,6;1,2;0;0;0;1;0;0;0;0;0;0;1;2
109;4;2;3;1;2;3;4;3;1;4;4;2;1;1;1;1;1;1;2;2;1;5;4;2;3;2;4;4;3;5;4;t;ichkeit;äßigung;ugel;bjekt;lywoodschaukel;ert;pel;ngenheit;unft;n;nheim;rbung;and;ang;hrung;setzung;spruch;asium;erhof;gramm;de;ling;pol;llack;on;nschirm;sicht;n;tz;4;3;1;4;4;3;1;3;0;1;0;0;1;1;1;0;1;1;1;6;5;4;5;3;4,2;2,7;1,3;0;0;0;0;0;0;0;0;0;0;0;1
110;2;2;3;2;2;2;4;1;3;4;4;1;1;2;1;1;1;2;1;2;2;3;3;2;4;3;4;3;2;3;2;t;ich;üdung;örper;bank;lister;entration;pel;ngenheit;unft;nzeichen;nheim;erbung;anderer;indung;hrung;schritt;station;astik;erlistig;gramm;de;ender;kultur;llack;onengesellschaft;neration;sicht;beis Universität;mmenhang;4;3;1;4;3;2;2;3;0;1;0;1;1;1;1;0;1;1;1;6;4;4;6;5;3,9;2,7;1,4;0;0;0;0;0;0;0;0;0;0;0;2
112;4;2;2;2;1;2;1;2;2;2;3;3;1;1;1;1;1;1;1;1;1;4;4;3;3;5;1;6;1;1;6;Deponieren;Endlosigkeit;Ermäßigung;Gaskugel;Genossenschaft;Holister;Konzentration;Krem;Vergangenheit;Vernetzung;Aktenzeichen;Alteisen;Bewerbung;Einweihung;Empfang;Erfahrung;Fortschritt;Funkstille;Gymnasium;Hinterzimmer;Kilometer;Kreis;Lieblosigkeit;Monothon;Nagetier;Persönlichkeit;Regenschauer;Rückenübung;Steinigung;Zusammen sein;4;3;1;4;2;3;1;4;0;1;0;0;1;1;1;1;1;1;1;5;5;7;7;7;5,6;1,9;1,2;0;0;0;0;0;0;0;0;0;0;0;3
114;2;3;3;1;2;1;2;2;3;3;3;1;1;1;1;1;1;1;1;1;1;4;4;3;4;4;2;4;3;3;4;Depot;Endlichkeit;Ermäßigung;Gaskammer;Genom;Holz;Konzentration;Krempel;Vergangenheit;Vernichtung;Aktenzeichen;Altenheim;Bewegung;Einwanderung;Empfänger;Erfahrung;Fortpflanzung;Funtktion;Gymnasium;Hintergrund;Kilogramm;Kreislauf;Liebe;Monographie;Nagel;Person;Regen;Rückkopplung;Stein;Zusammenführung;4;3;1;4;2;2;1;3;0;2;0;1;1;1;1;1;1;1;1;5;4;6;5;5;4,5;2,3;1;0;0;0;1;0;0;0;0;0;1;2;3
116;4;4;4;2;4;2;4;3;5;5;5;2;1;1;1;2;1;1;1;1;1;1;1;1;4;5;1;1;7;6;6;t;ich;ittlung;ammer;sse;stein;ert;pel;ngen;etzt;n;nheim;gung;ohner;inden;hrung;setzung;tion;asium;ern;gramm;de;e;poly;lschere;on;n;sicht;n;mmen;4;3;1;4;2;3;2;3;1;0;0;0;1;1;1;1;1;1;1;7;4;7;1;2;3,5;3,8;1,2;0;0;0;1;0;0;0;0;0;0;1;2
117;1;2;3;1;3;2;1;1;4;3;4;1;1;1;1;1;1;1;1;2;1;4;3;3;3;3;5;4;2;1;6;nie;ager;üdung;ammer;zid;z;entration;atoruium;ngenheit;unft;nzeichen;rtum;gung;ohner;ehlung;hrung;pflanzung;tion;nasium;ergrund;gramm;s;e;poly;l;on;l;halt;gung;sammenhalt;4;3;2;2;2;2;2;4;0;2;1;1;1;1;0;1;1;1;1;5;5;3;6;7;4,6;2,4;1,1;0;0;0;1;1;0;0;1;0;0;3;2
118;2;5;5;4;2;1;2;4;5;4;4;1;1;1;1;1;1;1;1;1;1;5;5;1;2;7;1;6;1;1;7;Deportation;Endlos;Ermässigung;Gaskammer;Genosse;Holzfäller;Konzentration;Krempel;Vergangenheit;Vernunft;Aktenzeichen;Altertum;Bewegung;Einwanderungsbehörde;Empfänger;Erfahrung;Fortbewegung;Funkmast;Gymnasium;Hinterhalt;Kilogramm;Kreis;Liebschaften;Monotheismus;Nagellack;Personalausweiß;Regenbogen;Rückmeldung;Steigbügel;Zusage;4;3;1;4;2;2;2;3;0;1;0;1;1;1;1;1;1;1;1;7;6;7;7;7;6,4;3,6;1;1;0;0;1;0;0;0;0;0;0;2;2
120;4;4;4;3;4;4;4;2;4;5;4;3;2;2;1;1;1;2;2;2;2;5;5;3;4;2;5;4;5;5;4;Depot;Endlager;Ermessen;Gaskammer;Genosse;Holz;Konzern;Krempel;Vergaser;Verneinung;Aktenschrank;Altertum;Bewegung;Einwanderer;Empfindung;Erfahrung;Fortschritt;Funkmast;Gymnasium;Hintertür;Kilogramm;Kreide;Liebhaber;Monopol;Nagetier;Person;Regelwerk;Rückmeldung;Steigung;Zusage;4;3;1;4;2;3;2;3;0;2;0;0;1;1;1;1;1;1;1;5;4;3;3;3;3,8;3,8;1,8;0;0;0;1;0;0;0;0;0;0;1;1
165;1;2;3;3;3;3;4;3;5;4;4;1;1;1;1;1;1;1;1;1;1;4;4;2;4;5;2;5;2;1;5;Depot;Endlichkeit;Ermittlung;Gaskammer;Genom;Holz;Konzert;Krempel;Vergangenheit;Verneinung;nzeichen;Altenheim;Bewegung;Einweihung;ang;Erfahrung;Fortschritt;Funkuhr;asium;Hintergrund;Kilogramm;Kreide;Liebkosung;Monogamie;Nagellack;Perser;Regenschirm;Rücksicht;Steinmetz;Zusatz;4;4;2;4;4;2;1;3;1;1;1;1;1;0;1;0;1;1;1;6;4;6;6;7;5,2;3,4;1;0;0;0;1;0;0;0;0;0;0;1;2
