subject;group;panas_1;panas_2;panas_3;panas_4;panas_5;panas_6;panas_7;panas_8;panas_9;panas_10;panas_11;panas_12;panas_13;panas_14;panas_15;panas_16;panas_17;panas_18;panas_19;panas_20;expl_1;expl_2;expl_3;expl_4;expl_5;expl_6;expl_7;expl_8;expl_9;expl_10;wsc_1;wsc_2;wsc_3;wsc_4;wsc_5;wsc_6;wsc_7;wsc_8;wsc_9;wsc_10;wsc_11;wsc_12;wsc_13;wsc_14;wsc_15;wsc_16;wsc_17;wsc_18;wsc_19;wsc_20;wsc_21;wsc_22;wsc_23;wsc_24;wsc_25;wsc_26;wsc_27;wsc_28;wsc_29;wsc_30;mc_a;mc_b;mc_c;mc_d;mc_e;mc_f;sex;bildung;migration;religion;uv_jew;uv_hol;mc_a_correct;mc_b_correct;mc_d_correct;mc_e_correct;mc_c_correct;mc_f_correct;mc_krit;expl_3r;expl_4r;expl_6r;expl_8r;expl_9r;expl_like;panas_pa;panas_na;wsc_1_hol;wsc_2_hol;wsc_3_hol;wsc_4_hol;wsc_5_hol;wsc_6_hol;wsc_7_hol;wsc_8_hol;wsc_9_hol;wsc_10_hol;wsc_hol_sum;age_groups
14;2;3;4;2;4;4;3;1;4;4;4;4;1;3;1;1;1;1;3;2;2;3;2;1;3;4;7;3;5;3;5;Deportation;Endlos;Ermittlungseinheit;Gaskammer;Genossenschaft;Holzfäller;ert;Krempel;ngenheit;Vernehmung;Aktenablage;Altenheim;Bewegung;Einweihungsfeier;Empfänger;Erfahrungsergebnisse;Fortbildung;Funktion;astik;Hinternschinken;Kilokalorien;Kreidefels;Liebling;Monolog;Nagetier;Persönlichkeit;Regenerierung;Rückmeldung;Stein;Zusammenstoß;4;3;1;4;2;2;1;4;0;2;0;1;1;1;1;1;1;1;1;7;5;1;3;5;3,8;3,3;1,9;1;0;0;1;0;0;0;0;0;0;2;1
16;4;4;3;2;2;2;3;4;1;1;2;2;1;2;1;1;2;3;2;3;2;2;2;1;3;2;5;1;5;4;2;Depo?;Endlos;Ermäßigung;Gaskatusche;Genosse;Holz;Konzert;Krem?;Vergangen;Vernunft;Aktenzeichen;Altersbeschränkung;Bewegung;Einweichen;Empfindung;Erfahrung;Fortfahren;Funkemariechen;Gymnastik;Hinter;Kilogramm;Kreislauf;Liebevoll;Monographie;Nagetier;Person;Regenwurm;Rücksichtslos;Stein;Zusage;4;3;1;4;2;3;1;3;0;2;0;0;1;1;1;1;1;1;1;7;5;3;3;4;3,1;2,4;1,9;0;0;0;0;0;0;0;0;0;0;0;2
17;1;1;3;2;2;1;4;1;3;2;1;1;1;1;1;1;1;1;1;1;1;4;3;6;7;3;6;4;5;5;3;Deportation;Endlichkeit;Ermahnung;Gaskammer;Genoide;Holunderblüte;Konzert;Krematorium;Vergangenheit;Vernichtung;Aktenvernichtung;Altenheim;Bewertung;Einwohner;Empfangsdame;Erfahrung;Fortschritt;Funkturm;Gymnasium;Hintergrund;Kilogramm;Kreis;Lieblichkeit;Monographie;Nagetier;Personalversammlung;Regen;Rücksicht;Stein;Zusage;4;3;2;4;2;2;1;3;0;2;1;1;1;1;1;1;1;1;1;2;1;2;3;3;2,8;2;1;1;0;0;1;0;0;0;1;0;1;4;3
20;4;4;5;2;4;4;4;4;3;4;4;1;1;1;1;1;1;1;1;1;1;6;7;4;2;6;5;6;1;1;6;Deportation;Endlichkeit;Ermahnung;Gaskolben;Genozid;Holocaust;Konzentration;Krematorium;Vergangenheit;Vernichtung;Akten;Altenpfleger;Bewegung;Einwand;Empfindung;Erfahrung;Fortsetzung;Funkstille;Gymnasium;Hinterhof;Kilogramm;Kreide;Liebling;Monotheismus;Nagelpfeile;Person;Regeneration;Rückblick;Stein;Zusammenhalt;4;3;1;4;2;3;1;4;0;0;0;0;1;1;1;1;1;1;1;4;6;3;7;7;5,8;3,8;1;1;0;0;0;1;1;0;1;0;1;5;3
21;1;2;2;3;2;2;2;3;3;4;4;1;1;1;1;1;1;1;1;1;1;5;4;2;2;5;3;5;2;2;5;Deposition;Endlichkeit;Ermüdung;Gaskammer;Genozid;Holzfäller;Konzert;Krempel;Vergangenheit;Vernunft;Aktenzeichen;Altenheim;Bewegung;Einwand;Empfindung;Erfahrung;Fortsetzung;Funkgerät;Gymnasium;Hinterrad;Kilogramm;Kreislauf;Liebschaft;Monotonie;Nagetier;Person;Regenwurm;Rückhalt;Steinhaufen;Zusatz;4;3;2;4;2;2;1;3;0;1;1;1;1;1;1;1;1;1;1;6;6;5;6;6;5,3;2,7;1;0;0;0;1;1;0;0;0;0;0;2;1
22;2;3;3;2;1;2;1;1;4;3;4;5;4;3;2;2;3;5;3;5;3;4;5;3;1;6;3;5;1;1;5;Deportation;Endlos;Ermittlung;Gaskochherd;0;Holocaust;Konzert;0;Vergasung;Vernunft;Akten;Altenpfleger;Bewegung;Einweihung;Empfindung;Erfahrung;Fortpflanzung;Funktion;Gymnasium;Hintern;Kilogramm;Kreis;Liebe;Monotheismus;Nagellack;Person;Regel;Rückrad;Steinigung;Zusammensetzung;4;3;1;4;4;2;1;3;0;1;0;1;1;1;1;0;1;1;1;5;7;5;7;7;5,6;2,4;3,5;1;0;0;0;0;1;0;0;1;0;3;2
23;3;5;4;2;2;3;3;2;3;3;4;1;1;1;1;1;1;1;1;1;1;4;5;3;2;4;2;5;2;2;5;Depot;Endlos;Ermächtigung;Gaskammer;Genommen;Holland;Konzert;Krem;Vergangenheit;Vernumft;Akten;Alterung;Bewegung;Einweihung;Empfindungen;Erfahrung;Fortsetzung;Funktion;Gymnasium;Hinterher;Kilogramm;Kreis;Lieblos;Monoton;Nagel;Person;Regenerierung;Rücksicht;Steigung;Zusammenhang;4;3;2;4;2;3;1;3;0;1;1;0;1;1;1;1;1;1;1;5;6;6;6;6;5,2;3,1;1;0;0;0;1;0;0;0;0;0;0;1;1
24;4;4;4;2;3;1;4;3;3;3;3;1;1;1;1;2;2;1;2;1;1;4;2;2;2;2;5;6;1;1;4;sitation;agern;ittlung;ammer;sität;zbein;erthalle;peln;ngenheit;unft;nzeichen;rtum;gungslehre;echslung;ehlung;hrung;setzung;mast;asium;ertür;meter;de;schaft;tonie;lbett;onenkraftwagen;nschirm;schlag;ßbein;mmenkunft;4;3;1;4;2;3;2;3;1;2;0;0;1;1;1;1;1;1;1;6;6;3;7;7;4,7;3;1,3;0;0;0;1;0;0;0;0;0;0;1;2
25;1;3;5;3;3;3;3;5;3;3;4;3;2;1;1;1;1;1;1;1;1;5;5;6;6;6;2;5;2;1;7;Depolisation;Endlosigkeit;Ermäßigung;Gaskammer;Genom;Holunder;Konzert;Kremsch;Vergangenheit;Vernunft;Aktenzeichen;Altersheim;Beweglichkeit;Einwand;Empfang;Erfahrung;Fortschritt;Funkstille;Gymnastik;Hinterhalt;Kilogramm;Kreis;Liebling;Monopolie;Nagelschere;Person;Regel;Rückhalt;Steigung;Zusage;4;3;2;4;2;2;1;3;0;2;1;1;1;1;1;1;1;1;1;2;2;6;6;7;5,1;3,5;1,3;0;0;0;1;0;0;0;0;0;0;1;2
26;2;2;1;3;2;3;2;2;3;3;3;3;1;1;1;1;1;1;1;2;1;5;5;6;4;4;3;5;2;1;5;t;os;üdung;ocher;ssen;z;ert;pel;sung;unft;n;ersheim;gung;and;ang;hrung;setzung;loch;asium;ern;gramm;s;haber;pol;tier;on;l;sicht;gung;mmen;4;3;1;4;2;2;2;3;0;0;0;1;1;1;1;1;1;1;1;2;4;5;6;7;4,8;2,4;1,3;0;0;0;0;0;0;0;0;1;0;1;3
