"ID","est.ma","ci.lb.ma","ci.ub.ma","zval.ma","pval.ma","tau2","I2","lb.I2","ub.I2","Q","pval.Q","pval.right","pval.left","sd.sei","perc.sig"
90,0.988,0.714,1.262,7.073,0,0,0,0,0,10.353,0.111,5,0,0.104,71.429
91,1.081,0.906,1.255,12.152,0,0,0,0,0,7.848,0.165,6,0,0.179,100
92,1.001,0.837,1.166,11.935,0,0,0,0,0,8.688,0.192,6,0,0.163,85.714
93,-0.38,-0.556,-0.204,-4.239,0,0.016,22.131,0,78.363,10.274,0.246,0,3,0.057,33.333
94,0.081,-0.031,0.192,1.412,0.158,0,0,0,63.19,3.745,0.809,0,0,0.137,0
97,-0.801,-1.017,-0.585,-7.263,0,0.087,43.331,0,71.318,28.234,0.03,0,10,0.075,58.824
98,-0.264,-0.625,0.097,-1.432,0.152,0.111,48.125,0,92.765,11.566,0.072,0,1,0.078,14.286
103,-0.074,-0.433,0.286,-0.402,0.688,0.095,48.468,0,91.62,9.703,0.084,0,1,0.077,16.667
105,-0.687,-0.971,-0.403,-4.736,0,0.104,47.863,0,89.501,19.18,0.038,0,6,0.107,54.545
106,1.85,1.531,2.169,11.368,0,0.042,22.577,0,84.013,7.75,0.257,7,0,0.082,100
