"ID","di.meta","di.puni","di.puni.0","di.pp","di.trim","di.sel","pval.left","pval.right"
26,-1.021400760247,-0.193144586203484,-0.193144586203484,-1.48768153980746,-1.021400760247,-0.621089770329521,5,0
27,0.015239860489951,NA,NA,0.159067899766398,0.015239860489951,0.0386466291651989,0,0
28,-0.295013072241796,2.93839839178754,0,-0.336607668525423,-0.295013072241796,-0.317769021006822,1,0
29,0.147157732647313,NA,NA,0.0552521911595585,0.147157732647313,0.213989999954539,0,0
30,0.845484535016259,0.766328072651537,0.766328072651537,0.842985772853683,0.845484535016259,0.842400631239188,0,6
31,0.711703947937188,0.791497502352448,0.791497502352448,0.567788430574302,0.612739813052368,0.70003406949911,0,5
32,-0.45414307774803,-0.214501098632812,-0.214501098632812,-0.0707970369904091,-0.45414307774803,-0.444546573926767,3,0
33,-0.634724796925749,-0.778388488769531,-0.778388488769531,-0.716874379895901,-0.634724796925749,-0.825973129064075,6,0
34,-0.411502417305362,0.342726501464843,0,-0.410195645725664,-0.411502417305362,-0.164751732744553,4,0
35,-0.572568104207552,-0.42701025390625,-0.42701025390625,-0.676860413742819,-0.572568104207552,-0.728290152622771,2,0
36,-0.502548957367241,-0.567220191955567,-0.567220191955567,-0.502241109575639,-0.502548957367241,-0.484894471108916,4,0
37,-0.573110918997862,-0.672568000793457,-0.672568000793457,-0.629350115292785,-0.694735759653943,-0.664388905845383,5,0
38,-0.551058686405832,-0.61843310546875,-0.61843310546875,-0.701113436873411,-0.600297359827746,-0.74803678706608,5,0
39,-0.294533497357219,NA,NA,-0.586224720069907,-0.402012692765688,-0.450375243119286,0,0
40,-0.350709218640938,0.501121063232421,0,-0.307944264937056,-0.350709218640938,-0.082603542273915,3,0
41,-0.378329123127674,-1.14334177180223,-1.14334177180223,1.07372619990198,-0.212480438182817,-0.921969426360241,1,0
42,-0.839324915786987,-0.984239579947413,-0.984239579947413,-0.804636580614428,-0.839324915786987,-0.975444944654048,3,0
43,0.265836960832651,0.62673553833395,0.62673553833395,0.580503090802837,0.306937173332134,0.284352133883947,0,1
44,0.156708256654907,NA,NA,0.433710671924181,0.192088162072721,0.298856384504418,0,0
45,0.678080818911577,-6.58393349101838,0,-0.0996625391669841,0.602788151172999,0.86553885318471,0,1
46,1.64695858580476,1.7685937493432,1.7685937493432,-0.594887158221857,1.33884184555198,1.50980815974314,0,9
47,1.28359142929092,1.41357631828253,1.41357631828253,-1.11736929630803,1.16482029767121,1.33699680965202,0,8
